"new_simple_name","kingdom","class","new_iucn"
"Equisetum arvense","Plantae","Polypodiopsida","LC"
"Equisetum ramosissimum","Plantae","Polypodiopsida","LC"
"Psilotum nudum","Plantae","Polypodiopsida","LC"
"Vandenboschia maxima","Plantae","Polypodiopsida","LC"
"Dicranopteris linearis","Plantae","Polypodiopsida","LC"
"Lygodium microphyllum","Plantae","Polypodiopsida","LC"
"Azolla pinnata","Plantae","Polypodiopsida","LC"
"Salvinia cucullata","Plantae","Polypodiopsida","LC"
"Salvinia natans","Plantae","Polypodiopsida","LC"
"Acrostichum aureum","Plantae","Polypodiopsida","LC"
"Ceratopteris thalictroides","Plantae","Polypodiopsida","LC"
"Pteris multifida","Plantae","Polypodiopsida","NT"
"Pteris vittata","Plantae","Polypodiopsida","LC"
"Microlepia rhomboidea","Plantae","Polypodiopsida","LC"
"Bolbitis appendiculata","Plantae","Polypodiopsida","LC"
"Elaphoglossum angulatum","Plantae","Polypodiopsida","DD"
"Dryopteris hasseltii","Plantae","Polypodiopsida","EN"
"Pyrrosia lanceolata","Plantae","Polypodiopsida","LC"
"Leptochilus decurrens","Plantae","Polypodiopsida","LC"
"Leptochilus pteropus","Plantae","Polypodiopsida","LC"
"Asplenium exiguum","Plantae","Polypodiopsida","LC"
"Asplenium tenuifolium","Plantae","Polypodiopsida","NT"
"Cyclosorus interruptus","Plantae","Polypodiopsida","LC"
"Diplazium dilatatum","Plantae","Polypodiopsida","LC"
"Cleistoblechnum eburneum","Plantae","Polypodiopsida","VU"
"Limnophila aromatica","Plantae","Magnoliopsida","LC"
"Nageia fleuryi","Plantae","Pinopsida","NT"
"Nageia nagi","Plantae","Pinopsida","NT"
"Podocarpus costalis","Plantae","Pinopsida","EN"
"Podocarpus fasciculus","Plantae","Pinopsida","VU"
"Podocarpus nakaii","Plantae","Pinopsida","EN"
"Solanum insanum","Plantae","Magnoliopsida","LC"
"Solanum violaceum","Plantae","Magnoliopsida","LC"
"Eulophia graminea","Plantae","Magnoliopsida","LC"
"Eleocharis atropurpurea","Plantae","Magnoliopsida","LC"
"Cyperus procerus","Plantae","Magnoliopsida","LC"
"Zanthoxylum avicennae","Plantae","Magnoliopsida","LC"
"Abelmoschus moschatus","Plantae","Magnoliopsida","LC"
"Acacia caesia","Plantae","Magnoliopsida","LC"
"Acacia confusa","Plantae","Magnoliopsida","LC"
"Acalypha caturus","Plantae","Magnoliopsida","LC"
"Acalypha suirenbiensis","Plantae","Magnoliopsida","VU"
"Acampe rigida","Plantae","Magnoliopsida","VU"
"Acanthephippium striatum","Plantae","Magnoliopsida","EN"
"Acer albopurpurascens","Plantae","Magnoliopsida","LC"
"Acer kawakamii","Plantae","Magnoliopsida","LC"
"Acer serrulatum","Plantae","Magnoliopsida","LC"
"Achillea millefolium","Plantae","Magnoliopsida","LC"
"Acmella uliginosa","Plantae","Magnoliopsida","LC"
"Acorus gramineus","Plantae","Magnoliopsida","LC"
"Acronychia pedunculata","Plantae","Magnoliopsida","LC"
"Actinoscirpus grossus","Plantae","Magnoliopsida","LC"
"Adiantum capillus-veneris","Plantae","Polypodiopsida","LC"
"Aeschynomene indica","Plantae","Magnoliopsida","LC"
"Agave americana","Plantae","Magnoliopsida","LC"
"Agave filifera","Plantae","Magnoliopsida","LC"
"Agave univittata","Plantae","Magnoliopsida","LC"
"Aglaia odorata","Plantae","Magnoliopsida","LC"
"Agrostis clavata","Plantae","Magnoliopsida","LC"
"Agrostis stolonifera","Plantae","Magnoliopsida","LC"
"Alangium chinense","Plantae","Magnoliopsida","LC"
"Albizia julibrissin","Plantae","Magnoliopsida","VU"
"Albizia kalkora","Plantae","Magnoliopsida","LC"
"Albizia lebbeck","Plantae","Magnoliopsida","LC"
"Albizia procera","Plantae","Magnoliopsida","LC"
"Albizia retusa","Plantae","Magnoliopsida","LC"
"Aletris formosana","Plantae","Magnoliopsida","LC"
"Aletris spicata","Plantae","Magnoliopsida","LC"
"Aleurites moluccanus","Plantae","Magnoliopsida","LC"
"Allium chinense","Plantae","Magnoliopsida","LC"
"Allium grayi","Plantae","Magnoliopsida","LC"
"Allium sativum","Plantae","Magnoliopsida","LC"
"Allium schoenoprasum","Plantae","Magnoliopsida","LC"
"Allium thunbergii","Plantae","Magnoliopsida","DD"
"Allium tuberosum","Plantae","Magnoliopsida","LC"
"Alocasia odora","Plantae","Magnoliopsida","LC"
"Aloe striata","Plantae","Magnoliopsida","LC"
"Aloe vera","Plantae","Magnoliopsida","LC"
"Alopecurus myosuroides","Plantae","Magnoliopsida","LC"
"Alpinia zerumbet","Plantae","Magnoliopsida","DD"
"Alternanthera sessilis","Plantae","Magnoliopsida","LC"
"Alysicarpus bupleurifolius","Plantae","Magnoliopsida","LC"
"Ammannia multiflora","Plantae","Magnoliopsida","LC"
"Amorphophallus paeoniifolius","Plantae","Magnoliopsida","LC"
"Anneslea fragrans lanceolata","Plantae","Magnoliopsida","VU"
"Annona glabra","Plantae","Magnoliopsida","LC"
"Annona montana","Plantae","Magnoliopsida","LC"
"Annona muricata","Plantae","Magnoliopsida","LC"
"Annona reticulata","Plantae","Magnoliopsida","LC"
"Annona squamosa","Plantae","Magnoliopsida","LC"
"Antidesma montanum","Plantae","Magnoliopsida","LC"
"Antidesma pleuricum","Plantae","Magnoliopsida","NT"
"Aphanamixis polystachya","Plantae","Magnoliopsida","LC"
"Aphananthe aspera","Plantae","Magnoliopsida","LC"
"Aponogeton taiwanensis","Plantae","Magnoliopsida","LC"
"Aralia armata","Plantae","Magnoliopsida","LC"
