"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","categoryRedlistTW","new_redlistTW","source_process"
"ebf8dbe0-2d87-48f4-be19-c55fd5dd9117","infraspecies","Animalia","Aves","Calidris alpina kistchinski","國家易危（NVU，Nationally Vulnerable）","暫無危機（LC, Least Concern）","redlistTW_change_infrasp_output"
"80f016bc-a3d2-4afd-865e-d5d8ce4c2968","infraspecies","Animalia","Aves","Ptilinopus leclancheri longialis","不適用",NA,"redlistTW_change_infrasp_output"
"a441e589-9fd5-4151-8830-36e3ca61b62d","infraspecies","Animalia","Reptilia","Trachemys scripta scripta","不適用",NA,"redlistTW_change_infrasp_output"
"fabc7ac0-0dfe-473d-b22e-320f97ceaeab","infraspecies","Plantae","Spermatopsida","Ischaemum aristatum glaucum","資料缺乏（DD, Data Deficient）",NA,"redlistTW_change_infrasp_output"
"252fa1e9-228b-4c20-a4bd-ad2cc8666677","species","Animalia","Aves","Hypsipetes amaurotis","","暫無危機（LC, Least Concern）","redlistTW_change_output"
"dbf5e038-f9e6-4101-93db-baa7ad072d50","species","Animalia","Mammalia","Neofelis nebulosa","","區域滅絕（RE, Regionally Extinct）","redlistTW_change_output"
"233a25cd-bac6-4bb2-94bb-a4b4c173c218","species","Animalia","Aves","Acridotheres javanicus","不適用",NA,"redlistTW_change_output"
"5dbb2b00-a638-4838-bb08-6e884152302b","species","Animalia","Aves","Acrocephalus sorghophilus","不適用",NA,"redlistTW_change_output"
"b6dc0713-111d-4b39-b283-f330282f5341","species","Animalia","Aves","Acrocephalus tangorum","不適用",NA,"redlistTW_change_output"
"387954d8-7500-4162-b38f-e02683ae1186","species","Animalia","Aves","Cyornis brunneatus","不適用",NA,"redlistTW_change_output"
"c04eb7ce-0b9b-4dfd-9e7d-74c5df6d7067","species","Animalia","Aves","Emberiza rustica","不適用",NA,"redlistTW_change_output"
"6522d339-ae75-4202-8bfa-a09b94dcd662","species","Animalia","Aves","Helopsaltes pleskei","不適用",NA,"redlistTW_change_output"
"08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1","species","Animalia","Aves","Aquila heliaca","不適用",NA,"redlistTW_change_output"
"3fae360a-23ea-45ef-827a-4c7af654fe69","species","Animalia","Aves","Clanga clanga","不適用",NA,"redlistTW_change_output"
"283a16c1-47fd-4221-a221-d52e575766ee","species","Animalia","Aves","Ichthyaetus relictus","不適用",NA,"redlistTW_change_output"
"e566274e-4dce-485b-a51c-9c53a4488794","species","Animalia","Aves","Rissa tridactyla","不適用",NA,"redlistTW_change_output"
"aef79acf-2172-4f1b-bcf0-f89039067f8e","species","Animalia","Aves","Synthliboramphus wumizusume","不適用",NA,"redlistTW_change_output"
"e486a442-46fe-47b3-a92a-d80d7c72b5e4","species","Animalia","Aves","Anas luzonica","不適用",NA,"redlistTW_change_output"
"9e4f5b40-ceae-4fc5-bec4-b1b65ef1f7ca","species","Animalia","Aves","Anser cygnoides","不適用",NA,"redlistTW_change_output"
"925fa76b-afac-482a-aaa2-af890f137cf8","species","Animalia","Aves","Anser erythropus","不適用",NA,"redlistTW_change_output"
"f76d0089-0522-41ca-a311-ea1e1e0bcb37","species","Animalia","Aves","Aythya ferina","不適用",NA,"redlistTW_change_output"
"9aee7654-fbf5-4529-acbd-9f08478581cf","species","Animalia","Aves","Clangula hyemalis","不適用",NA,"redlistTW_change_output"
"629ea7b1-f65a-4df0-95be-0494829346d8","species","Animalia","Aves","Mergus squamatus","不適用",NA,"redlistTW_change_output"
