"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW"
"040d6b07-b658-458d-beb5-defa0e8f4927","species","","Tyromyces taxi","Fungi","Agaricomycetes","","","","","","",""
"6b93cbc8-dcc5-4734-ba16-0f922a69a036","species","","Tyromyces wakefieldiae","Fungi","Agaricomycetes","","","","","","",""
"b0bb501e-6bfd-4410-a103-49d8a1f659fb","species","","Naemateloma fasciculare","Fungi","Urediniomycetes","","","","","","",""
"abafdd4b-a8ad-4a4c-84a9-9766b66b4a91","species","","Chloridium virescens","Chromista","Dictyochophyceae","原生 Native","","","","","",""
"03cb1ec3-8b54-4876-b755-05406c0e2ab8","species","","Carrhotus viduus","Animalia","Arachnida","原生 Native","","","","","",""
"363e7721-0c73-4d47-845a-0439bed388d7","species","","Menemerus bivittatus","Animalia","Arachnida","原生 Native","","","","","",""
"fa561dd6-3909-42f3-9bc2-e4444c64c707","species","","Amphiesma sp.","Animalia","Reptilia","原生 Native","台灣特有","","","","",""
"d86d3cf1-07f3-42c5-913f-8b5dbfcc563d","species","","Phascolosoma glabrum","Animalia","Phascolosomatidea","原生 Native","","","","","",""
"1982789d-8cde-4b5e-962b-e60b0c046277","species","","Aspidosiphon muelleri","Animalia","Phascolosomatidea","原生 Native","","","","","",""
"43d98a29-e931-42a8-883a-d94a05e876d6","species","","Themiste (Lagenopsis) minor","Animalia","Sipunculidea","原生 Native","","","","","",""
"f6ff7a33-a379-414f-ad28-909bc1e647ce","infraspecies","","Struthio camelus domesticus","Animalia","Aves","外來 Non-native","","","","","",""
"af59e69a-90da-43b2-89bf-b62dc41799f0","infraspecies","","Brachionus calyciflorus dorcas nosus","Animalia","Monogononta","原生 Native","","","","","",""
"b78d90ca-6c3f-4ac1-a1b1-5c7bedcbad27","species","","Archicolliuris bimaculata","Animalia","Insecta","原生 Native","","","","","",""
"369c5b30-a784-4ee5-ad10-56d2f7e41e15","species","","Colpodes acroglyptus","Animalia","Insecta","原生 Native","台灣特有","","","","",""
"f912685c-a3b1-4a08-8a15-ebb6f2430a2a","species","","Ophionea ishiii","Animalia","Insecta","原生 Native","","","","","",""
"62cc5cb6-02d1-41f4-b609-0ba2a12590cf","species","","Carabus (Damaster) blaptoides","Animalia","Insecta","原生 Native","","","","","",""
"d8075f16-b6d7-441d-b9e2-b944e74c43e9","species","","Lema pectoralis","Animalia","Insecta","原生 Native","","","","","",""
"42884ff7-e18d-4b25-bc59-81ae00b264ca","species","","Lema (Quasilema) trivittata","Animalia","Insecta","原生 Native","","","","","",""
