"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies"
"7466a425-42e9-4ea4-ab98-6ba7dc0dfcb8","species","t0042611","Phanerochaete subodontoidea","Fungi","Agaricomycetes","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ed4caa52-a163-4ba5-87f1-954423365c7b","species","t0035372","Debaryozyma hansenii","Fungi","Saccharomycetes","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c6bb727c-9c9f-4b29-a4a3-22758e04551b","species","t0079458","Cosella kadsuriae","Animalia","Arachnida","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fccc4606-182f-47e3-a0a4-6cf15486d651","species","t0079460","Cosella parvifloriae","Animalia","Arachnida","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7cfcf2d0-a1f5-4119-a565-385a41616f13","species","t0046797","Tarsonemus pallidus","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410bdd3b-cb3a-4114-af76-9c3cc2c7c730","species","t0031592","Parasteatoda angulithorax","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58f6bbc5-68de-4818-80ea-25551ca4e20b","species","t0031593","Parasteatoda kompirensis","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f0bc52a7-36e2-46a9-be03-0f03596fcced","species","t0099211","Toxeus magnus","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305caac7-a116-46d8-9312-0220b6e47012","species","t0071100","Amblyomma breviscutatum","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dba8ef60-49c8-4707-a6f6-792dd04a9d14","species","t0071102","Amblyomma microplus","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31cc9657-4543-4200-acc0-d43c2cde5746","species","t0064171","Gagrella grandis","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baf0de17-634c-4fb1-923c-0c9584586670","species","t0096359","Metadentobunus formosae","Animalia","Arachnida","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"da11bd42-3756-42cc-9240-999ab2c54d8d","species","t0036188","Plesionika quasigrandis","Animalia","Malacostraca","native","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33a01639-f562-4b27-8b6b-cf20392e43d3","species","t0027202","Johnius dussumieri","Animalia","Actinopterygii","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64eed81e-c328-451b-9c52-095b48625234","species","t0027204","Johnius macrorhynus","Animalia","Actinopterygii","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ce3dc45b-359c-4642-8311-0e5c0a759d02","species","t0029001","Equulites leuciscus","Animalia","Actinopterygii","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7767a7d9-d6c3-40aa-9132-a9dec5f59426","species","t0050859","Equulites absconditus","Animalia","Actinopterygii","native","true","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc268fee-8f3a-4721-bea9-c2f23c19bfd6","species","t0056689","Uranoscopus oligolepis","Animalia","Actinopterygii","native","","","","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
