"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","categoryRedlistTW","new_redlistTW","source_process"
"db4a128f-e072-46b8-a781-1c01ca003da2","species","Animalia","Malacostraca","Hemigrapsus takanoi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7e5b017c-99c5-4296-a487-fb43084d4ffa","species","Animalia","Insecta","Trichogyia concava","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"e14294b9-dff7-466c-a07e-f62b377221d8","species","Animalia","Insecta","Eucyclodes difficta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"acb7fbae-03ab-4b99-9fe1-b4f6e0fe6e1f","species","Animalia","Insecta","Eucyclodes infracta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"3c62ac66-fbae-4e8f-aed8-a8e0a4f7762b","species","Animalia","Insecta","Xylechinus fatsiae","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"9439ee66-de8d-4d04-be55-c30338c7a8b0","species","Animalia","Insecta","Dysaethria pseudomoza","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"3417aed9-b44e-48d3-a0ab-50a69c788b27","species","Animalia","Insecta","Paranthrenella weiyui","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"7de9efee-7cbc-4d20-85ce-bb8427612b22","species","Animalia","Insecta","Paranthrenella dortmundi","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"35e2cb38-a01b-4e15-8196-633074205663","species","Animalia","Insecta","Ericeia elongata","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"4c617f3d-cbeb-4d8a-81a0-c8cbf62fad5a","species","Animalia","Insecta","Melittia tao","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"51a87365-cda5-43f1-aa4c-1e8bdca21f5e","species","Animalia","Insecta","Synanthedon auritinctaoidis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"ba4496ea-95a6-47e4-904e-9620395b0c99","species","Animalia","Insecta","Synanthedon phoenix","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"58ce5cab-b5fd-44a8-8aba-0e6e36624536","species","Animalia","Insecta","Synanthedon ceraunus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"85fbd69c-e0e7-4d64-9c7c-8ba3d1cdbc11","species","Animalia","Insecta","Lamprodila formosana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"52ff8397-b739-49ef-8f9e-4a43d8ee10cf","species","Animalia","Insecta","Lamprodila taiwania","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"92b54f03-5e0b-45c9-8da4-e67641714c71","species","Animalia","Insecta","Notocelia donaldana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"165f4ce8-a765-4af5-8c31-2af5a4ebae6b","species","Animalia","Insecta","Nalanda rutilicollis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"dcf8513d-358f-4b8e-b379-1c2ea13868e1","species","Animalia","Insecta","Upinella meifengensis","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"beb9b555-ff78-4932-96a6-659db308c182","species","Animalia","Insecta","Upinella mendeli","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"80287979-5172-4b4a-aabd-1625a6cd886d","species","Animalia","Malacostraca","Dacryopilumnus eremita","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"89ea624b-e016-4549-9d08-98f31ab0d921","species","Animalia","Insecta","Striglina taoyuan","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"5a36f71d-c6d1-4670-9864-6dbd6ed3438c","species","Animalia","Insecta","Striglina suzukii","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"09a0179e-4708-40fe-9e06-34cfa4ce5100","species","Animalia","Malacostraca","Palinustus unicornutus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"506501fc-1894-4a9e-825b-98941e361c9a","species","Animalia","Insecta","Chorsia albiscripta","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"dcb7471b-11c4-4a68-a2ed-a4d60aa8c669","species","Animalia","Insecta","Chorsia mollicula","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"5c899013-31a3-4eb8-8bfe-3c5692c42654","species","Animalia","Insecta","Neopotamia divisa","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"84f06aff-ba0e-4839-b1db-ba5ba128a25b","species","Animalia","Insecta","Hoplia guandaoshana","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
"a636d8fb-5e55-4eaf-b79e-e1b5bbd051f4","species","Animalia","Insecta","Phloeosinus camphoratus","未評估（NE, Not Evaluated）","","redlistTW_change_sp_output"
