"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"3bdb493f-a4aa-419c-a843-258c5f2b8cf7","species","t0031347","Oreochromis mossambicus","Animalia","Actinopterygii","non-native","","","","VU","輕度","","species","Oreochromis mossambicus","","non-native","VU","","","Oreochromis","mossambicus",NA,"sensitive",NA,NA,NA
"978988f1-f2d8-4bef-a071-68f0ea980406","species","t0030149","Carassius cuvieri","Animalia","Actinopterygii","non-native","","","","EN","輕度","","species","Carassius cuvieri","","non-native","EN","","","Carassius","cuvieri",NA,"sensitive",NA,NA,NA
"be5e6dc4-aa9a-476a-aa54-36cfc34eb127","species","t0028688","Distoechodon tumirostris","Animalia","Actinopterygii","native","","","","LC","輕度","2017-07-01","species","Distoechodon tumirostris","","native","LC","","","Distoechodon","tumirostris",NA,NA,NA,NA,NA
"d11b18eb-ae8f-460b-985b-ac9042602183","species","t0032369","Puntius semifasciolatus","Animalia","Actinopterygii","native","","","NNT","","輕度","2024-12-01","species","Puntius semifasciolatus","","native","","NNT","","Puntius","semifasciolatus",NA,NA,NA,NA,NA
"21f9db13-69e9-44be-8486-a3f3cf4f53f6","species","t0056016","Puntius snyderi","Animalia","Actinopterygii","native","","","NNT","","輕度","2024-12-01","species","Puntius snyderi","","native","","NNT","","Puntius","snyderi",NA,NA,NA,NA,NA
"39675fc8-4221-4047-ac62-b93e9adf9bba","species","t0032863","Sinibrama macrops","Animalia","Actinopterygii","native","","","NNT","LC","輕度","2024-12-01","species","Sinibrama macrops","","native","LC","NNT","","Sinibrama","macrops",NA,NA,NA,NA,NA
"6bbe09aa-56bd-40d8-aa77-03aac0b2efed","species","t0029229","Formosania lacustre","Animalia","Actinopterygii","native","true","","NNT","","輕度","2024-12-01","species","Formosania lacustre","true","native","","NNT","","Formosania","lacustre",NA,NA,NA,NA,NA
"cea2ea72-bfa4-4718-be05-445fb6ce349b","species","t0029596","Hemimyzon formosanus","Animalia","Actinopterygii","native","true","","NNT","","輕度","2024-12-01","species","Hemimyzon formosanus","true","native","","NNT","","Hemimyzon","formosanus",NA,NA,NA,NA,NA
"5bd5f91c-faaa-45d4-aa6c-e1d7f669ef27","species","t0032034","Poecilia velifera","Animalia","Actinopterygii","non-native","","","","VU","輕度","","species","Poecilia velifera","","non-native","VU","","","Poecilia","velifera",NA,"sensitive",NA,NA,NA
"94e11be7-aea5-4fb2-bdf4-ffd50423d3b7","species","t0064816","Gracula religiosa","Animalia","Aves","non-native","","II","","LC","輕度","","species","Gracula religiosa","","non-native","LC","","II","Gracula","religiosa",NA,NA,"sensitive",NA,NA
"0b16d184-e6e6-4fcf-a1f5-2ddbd8ca43bd","species","t0097085","Garrulax canorus","Animalia","Aves","non-native","","II","NLC","LC","輕度","2024-12-01","species","Garrulax canorus","","native","LC","NLC","II","Garrulax","canorus",NA,NA,"sensitive",NA,NA
