"taxonUUID","taxonRank","kingdom","simplifiedScientificName","categoryIUCN","new_iucn","source_process"
"fc9e29dc-9f72-445c-a0df-3d7e1b7b3d72","species","Plantae","Kudoacanthus albonervosa","瀕危（EN, Endangered）","","IUCN_change_sp_output"
"2fb10219-4fab-46c0-a6e4-ddf032eb4e22","species","Animalia","Nupalirus japonica","","暫無危機（LC, Least Concern）","IUCN_change_output"
"aa2b568b-221d-4575-9962-24cc60f358d2","species","Animalia","Galearctus lipkei","","暫無危機（LC, Least Concern）","IUCN_change_output"
"4d30cd6d-8686-445e-a682-16df63cfde0f","species","Animalia","Chelarctus virgosus","","暫無危機（LC, Least Concern）","IUCN_change_output"
"e5f3eed0-bd07-4693-9c26-a44775d7a991","species","Animalia","Scyllarus martensii","","暫無危機（LC, Least Concern）","IUCN_change_output"
"2333e7c2-f552-4b15-b0b2-dafaa910c6ad","species","Animalia","Scyllarus timidus","","暫無危機（LC, Least Concern）","IUCN_change_output"
"563b79d3-bedf-4f2f-882b-ad357d7257a0","species","Animalia","Chelonodon patoca","","暫無危機（LC, Least Concern）","IUCN_change_output"
"50dfdd87-e823-4585-9b54-bc8ce631e45c","species","Animalia","Ostracion immaculatus","","暫無危機（LC, Least Concern）","IUCN_change_output"
"e39ed9e9-ab43-4173-8a7f-cc8b8ba7d7be","species","Animalia","Pontinus tentacularis","","暫無危機（LC, Least Concern）","IUCN_change_output"
"9ed22968-5619-415a-9e41-39087499ede8","species","Animalia","Suggrundus meerdervoortii","","暫無危機（LC, Least Concern）","IUCN_change_output"
"12f34bc3-c415-49bb-845a-b8fe3f561c28","species","Animalia","Hemiramphus lutkei","","暫無危機（LC, Least Concern）","IUCN_change_output"
"cc77d8f8-6d6f-4001-92a0-9056f0fe0085","species","Animalia","Hyporhamphus intermedius","","暫無危機（LC, Least Concern）","IUCN_change_output"
"d830acf3-d9e1-448d-ac03-868257e9191b","species","Animalia","Chromis acares","","暫無危機（LC, Least Concern）","IUCN_change_output"
"aeaff0ee-601a-4e44-8345-a57d096ed533","species","Animalia","Chromis lepidolepis","","暫無危機（LC, Least Concern）","IUCN_change_output"
"f2a988df-ca3b-457e-9c92-a984b78d5436","species","Animalia","Chromis leucura","","暫無危機（LC, Least Concern）","IUCN_change_output"
"e59aa7c6-c856-449c-bd62-aea117a1f9b6","species","Animalia","Chromis margaritifer","","暫無危機（LC, Least Concern）","IUCN_change_output"
"df3106df-ebb8-4d4e-a52d-08a5b710d6b7","species","Animalia","Chromis ovatiformes","","暫無危機（LC, Least Concern）","IUCN_change_output"
"92db088d-02ee-4178-a9dd-4491bf9a4447","species","Animalia","Chromis retrofasciata","","暫無危機（LC, Least Concern）","IUCN_change_output"
"29cc85cf-64e8-4a4a-a79b-53dbaa9cdf4a","species","Animalia","Chrysiptera tricincta","","暫無危機（LC, Least Concern）","IUCN_change_output"
"7f69b7ac-b1dc-4741-b724-566b731e40fc","species","Animalia","Stegastes aureus","","暫無危機（LC, Least Concern）","IUCN_change_output"
"5f8fc28d-cd75-497d-9b16-8cca3ea375c9","species","Animalia","Stegastes fasciolatus","","暫無危機（LC, Least Concern）","IUCN_change_output"
"cca0b6b1-55e1-474c-baa6-af6f5c67970f","species","Animalia","Stegastes insularis","","暫無危機（LC, Least Concern）","IUCN_change_output"
"21673bac-ae4c-42d9-a750-42412f3aba04","species","Animalia","Stegastes obreptus","","暫無危機（LC, Least Concern）","IUCN_change_output"
