"new_simple_name","kingdom","class","new_redlistTW"
"Selaginella aristata","Plantae","Lycopodiopsida","NLC"
"Selaginella boninensis","Plantae","Lycopodiopsida","NNT"
"Selaginella ciliaris","Plantae","Lycopodiopsida","NNT"
"Selaginella delicatula","Plantae","Lycopodiopsida","NLC"
"Selaginella heterostachys","Plantae","Lycopodiopsida","NLC"
"Selaginella involvens","Plantae","Lycopodiopsida","NLC"
"Selaginella labordei","Plantae","Lycopodiopsida","NLC"
"Selaginella lutchuensis","Plantae","Lycopodiopsida","NEN"
"Selaginella moellendorffii","Plantae","Lycopodiopsida","NLC"
"Selaginella nipponica","Plantae","Lycopodiopsida","NEN"
"Selaginella remotifolia","Plantae","Lycopodiopsida","NLC"
"Selaginella repanda","Plantae","Lycopodiopsida","NLC"
"Selaginella stauntoniana","Plantae","Lycopodiopsida","NLC"
"Selaginella tamariscina","Plantae","Lycopodiopsida","NLC"
"Huperzia emeiensis","Plantae","Lycopodiopsida","DD"
"Huperzia herteriana","Plantae","Lycopodiopsida","DD"
"Huperzia liangshanica","Plantae","Lycopodiopsida","DD"
"Huperzia quasipolytrichoides","Plantae","Lycopodiopsida","NLC"
"Huperzia selago","Plantae","Lycopodiopsida","NVU"
"Huperzia myriophyllifolia","Plantae","Lycopodiopsida","DD"
"Huperzia somae","Plantae","Lycopodiopsida","NLC"
"Phlegmariurus carinatus","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus changii","Plantae","Lycopodiopsida","DD"
"Phlegmariurus cryptomerinus","Plantae","Lycopodiopsida","NNT"
"Phlegmariurus cunninghamioides","Plantae","Lycopodiopsida","NCR"
"Phlegmariurus fargesii","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus fordii","Plantae","Lycopodiopsida","NLC"
"Phlegmariurus phlegmaria","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus salvinioides","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus sieboldii","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus squarrosus","Plantae","Lycopodiopsida","NEN"
"Lycopodiella cernua","Plantae","Lycopodiopsida","NLC"
"Lycopodiastrum casuarinoides","Plantae","Lycopodiopsida","NLC"
"Lycopodium annotinum","Plantae","Lycopodiopsida","NVU"
"Lycopodium clavatum","Plantae","Lycopodiopsida","NLC"
"Lycopodium complanatum","Plantae","Lycopodiopsida","NLC"
"Lycopodium obscurum","Plantae","Lycopodiopsida","NLC"
"Lycopodium veitchii","Plantae","Lycopodiopsida","NLC"
"Equisetum ramosissimum","Plantae","Polypodiopsida","NLC"
"Psilotum nudum","Plantae","Polypodiopsida","NLC"
"Ophioglossum austroasiaticum","Plantae","Polypodiopsida","NLC"
"Ophioglossum petiolatum","Plantae","Polypodiopsida","NLC"
"Ophioglossum thermale","Plantae","Polypodiopsida","NNT"
"Helminthostachys zeylanica","Plantae","Polypodiopsida","NCR"
"Botrychium lunaria","Plantae","Polypodiopsida","NNT"
"Botrypus virginianus","Plantae","Polypodiopsida","NEN"
"Japanobotrychium lanuginosum","Plantae","Polypodiopsida","NVU"
"Sceptridium ternatum","Plantae","Polypodiopsida","NEN"
"Angiopteris evecta","Plantae","Polypodiopsida","NVU"
"Angiopteris lygodiifolia","Plantae","Polypodiopsida","NLC"
"Angiopteris somae","Plantae","Polypodiopsida","NEN"
"Osmunda japonica","Plantae","Polypodiopsida","NLC"
"Plenasium banksiifolium","Plantae","Polypodiopsida","NLC"
"Hymenophyllum acutum","Plantae","Polypodiopsida","NVU"
"Hymenophyllum badium","Plantae","Polypodiopsida","NLC"
"Hymenophyllum barbatum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum blandum","Plantae","Polypodiopsida","NVU"
"Hymenophyllum denticulatum","Plantae","Polypodiopsida","NNT"
"Hymenophyllum devolii","Plantae","Polypodiopsida","NLC"
"Hymenophyllum digitatum","Plantae","Polypodiopsida","NEN"
"Hymenophyllum fimbriatum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum holochilum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum javanicum","Plantae","Polypodiopsida","NNT"
"Hymenophyllum nitidulum","Plantae","Polypodiopsida","NNT"
"Hymenophyllum okadae","Plantae","Polypodiopsida","NLC"
"Hymenophyllum oligosorum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum pallidum","Plantae","Polypodiopsida","NVU"
"Hymenophyllum palmatifidum","Plantae","Polypodiopsida","NCR"
"Hymenophyllum paniculiflorum","Plantae","Polypodiopsida","NLC"
"Hymenophyllum pilosissimum","Plantae","Polypodiopsida","NVU"
"Hymenophyllum productum","Plantae","Polypodiopsida","NCR"
"Hymenophyllum semialatum","Plantae","Polypodiopsida","NVU"
"Hymenophyllum simonsianum","Plantae","Polypodiopsida","NCR"
"Hymenophyllum taiwanense","Plantae","Polypodiopsida","NCR"
"Abrodictyum clathratum","Plantae","Polypodiopsida","NNT"
"Abrodictyum cumingii","Plantae","Polypodiopsida","NNT"
"Abrodictyum obscurum","Plantae","Polypodiopsida","NLC"
"Callistopteris apiifolia","Plantae","Polypodiopsida","NLC"
"Cephalomanes javanicum","Plantae","Polypodiopsida","NNT"
"Crepidomanes bilabiatum","Plantae","Polypodiopsida","NEN"
"Crepidomanes bipunctatum","Plantae","Polypodiopsida","NCR"
"Crepidomanes grande","Plantae","Polypodiopsida","NNT"
"Crepidomanes kurzii","Plantae","Polypodiopsida","NNT"
"Crepidomanes latealatum","Plantae","Polypodiopsida","NLC"
"Crepidomanes latemarginale","Plantae","Polypodiopsida","NLC"
"Crepidomanes makinoi","Plantae","Polypodiopsida","NLC"
"Crepidomanes minutum proliferum","Plantae","Polypodiopsida","NLC"
"Crepidomanes minutum","Plantae","Polypodiopsida","NLC"
"Crepidomanes parvifolium","Plantae","Polypodiopsida","NCR"
"Crepidomanes rupicola","Plantae","Polypodiopsida","NNT"
"Crepidomanes thysanostomum","Plantae","Polypodiopsida","NNT"
"Crepidomanes vitiense","Plantae","Polypodiopsida","NVU"
"Didymoglossum beccarianum","Plantae","Polypodiopsida","NLC"
"Vandenboschia auriculata","Plantae","Polypodiopsida","NLC"
"Vandenboschia kalamocarpa","Plantae","Polypodiopsida","NLC"
"Vandenboschia maxima","Plantae","Polypodiopsida","NLC"
"Vandenboschia striata","Plantae","Polypodiopsida","NLC"
"Dicranopteris linearis","Plantae","Polypodiopsida","NLC"
"Dicranopteris subpectinata","Plantae","Polypodiopsida","DD"
"Dicranopteris taiwanensis","Plantae","Polypodiopsida","NLC"
"Dicranopteris tetraphylla","Plantae","Polypodiopsida","NLC"
"Diplopterygium blotianum","Plantae","Polypodiopsida","NLC"
"Diplopterygium chinensis","Plantae","Polypodiopsida","NLC"
"Diplopterygium glaucum","Plantae","Polypodiopsida","NLC"
"Diplopterygium laevissimum","Plantae","Polypodiopsida","NLC"
"Cheiropleuria integrifolia","Plantae","Polypodiopsida","NLC"
"Dipteris conjugata","Plantae","Polypodiopsida","NLC"
"Lygodium japonicum","Plantae","Polypodiopsida","NLC"
"Lygodium microphyllum","Plantae","Polypodiopsida","NVU"
"Actinostachys digitata","Plantae","Polypodiopsida","NVU"
"Schizaea dichotoma","Plantae","Polypodiopsida","NCR"
"Azolla pinnata","Plantae","Polypodiopsida","DD"
"Salvinia natans","Plantae","Polypodiopsida","NCR"
"Plagiogyria adnata","Plantae","Polypodiopsida","NLC"
"Plagiogyria euphlebia","Plantae","Polypodiopsida","NLC"
"Plagiogyria falcata","Plantae","Polypodiopsida","NLC"
"Plagiogyria glauca","Plantae","Polypodiopsida","NLC"
"Plagiogyria japonica","Plantae","Polypodiopsida","NVU"
"Plagiogyria koidzumii","Plantae","Polypodiopsida","NCR"
"Plagiogyria stenoptera","Plantae","Polypodiopsida","NLC"
"Alsophila metteniana","Plantae","Polypodiopsida","NLC"
"Alsophila podophylla","Plantae","Polypodiopsida","NLC"
"Sphaeropteris lepifera","Plantae","Polypodiopsida","NLC"
"Cibotium barometz","Plantae","Polypodiopsida","NLC"
"Cibotium taiwanense","Plantae","Polypodiopsida","NLC"
"Lindsaea chienii","Plantae","Polypodiopsida","NLC"
"Lindsaea cultrata","Plantae","Polypodiopsida","NVU"
"Lindsaea ensifolia","Plantae","Polypodiopsida","NNT"
"Lindsaea kawabatae","Plantae","Polypodiopsida","NVU"
"Lindsaea lucida","Plantae","Polypodiopsida","NVU"
"Lindsaea obtusa","Plantae","Polypodiopsida","NNT"
"Lindsaea orbiculata","Plantae","Polypodiopsida","NLC"
"Odontosoria biflora","Plantae","Polypodiopsida","NLC"
"Odontosoria chinensis","Plantae","Polypodiopsida","NLC"
"Odontosoria gracilis","Plantae","Polypodiopsida","NNT"
"Osmolindsaea japonica","Plantae","Polypodiopsida","NLC"
"Tapeinidium pinnatum","Plantae","Polypodiopsida","NLC"
"Coniogramme fraxinea","Plantae","Polypodiopsida","NLC"
"Coniogramme intermedia","Plantae","Polypodiopsida","NLC"
"Coniogramme japonica","Plantae","Polypodiopsida","NLC"
"Coniogramme procera","Plantae","Polypodiopsida","NLC"
"Cryptogramma brunoniana","Plantae","Polypodiopsida","NLC"
"Cryptogramma stelleri","Plantae","Polypodiopsida","NNT"
"Acrostichum aureum","Plantae","Polypodiopsida","NVU"
"Ceratopteris thalictroides","Plantae","Polypodiopsida","NLC"
"Anogramma leptophylla","Plantae","Polypodiopsida","NNT"
"Onychium japonicum","Plantae","Polypodiopsida","NLC"
"Onychium lucidum","Plantae","Polypodiopsida","NLC"
"Onychium siliculosum","Plantae","Polypodiopsida","NNT"
"Pteris angustipinna","Plantae","Polypodiopsida","NCR"
"Pteris arisanensis","Plantae","Polypodiopsida","NLC"
"Pteris bella","Plantae","Polypodiopsida","NNT"
"Pteris biaurita","Plantae","Polypodiopsida","NLC"
"Pteris cadieri","Plantae","Polypodiopsida","NLC"
"Pteris dactylina","Plantae","Polypodiopsida","NLC"
"Pteris deltodon","Plantae","Polypodiopsida","NLC"
"Pteris ensiformis","Plantae","Polypodiopsida","NLC"
"Pteris esquirolii","Plantae","Polypodiopsida","DD"
"Pteris formosana","Plantae","Polypodiopsida","NLC"
"Pteris incurvata","Plantae","Polypodiopsida","NLC"
"Pteris kawabatae","Plantae","Polypodiopsida","NVU"
"Pteris kidoi","Plantae","Polypodiopsida","NNT"
"Pteris latipinna","Plantae","Polypodiopsida","NVU"
"Pteris longipes","Plantae","Polypodiopsida","NLC"
"Pteris longipinna","Plantae","Polypodiopsida","NLC"
"Pteris multifida","Plantae","Polypodiopsida","NLC"
"Pteris venusta","Plantae","Polypodiopsida","NEN"
"Pteris perplexa","Plantae","Polypodiopsida","NLC"
"Pteris ryukyuensis","Plantae","Polypodiopsida","NNT"
"Pteris scabristipes","Plantae","Polypodiopsida","NLC"
"Pteris semipinnata","Plantae","Polypodiopsida","NLC"
"Pteris subesquirolii","Plantae","Polypodiopsida","NNT"
"Pteris tripartita","Plantae","Polypodiopsida","DD"
"Pteris vittata","Plantae","Polypodiopsida","NLC"
"Pteris wallichiana","Plantae","Polypodiopsida","NLC"
"Pteris × wulaiensis","Plantae","Polypodiopsida","NCR"
"Aleuritopteris argentea","Plantae","Polypodiopsida","NLC"
"Aleuritopteris formosana","Plantae","Polypodiopsida","NLC"
"Aleuritopteris subargentea","Plantae","Polypodiopsida","DD"
"Cheilanthes chusana","Plantae","Polypodiopsida","NLC"
"Cheilanthes tenuifolia","Plantae","Polypodiopsida","NLC"
"Doryopteris concolor","Plantae","Polypodiopsida","NLC"
"Paragymnopteris vestita","Plantae","Polypodiopsida","NEN"
"Parahemionitis arifolia","Plantae","Polypodiopsida","NVU"
"Adiantum capillus-junonis","Plantae","Polypodiopsida","NCR"
"Adiantum caudatum","Plantae","Polypodiopsida","NLC"
"Adiantum diaphanum","Plantae","Polypodiopsida","NLC"
"Adiantum edgeworthii","Plantae","Polypodiopsida","NLC"
"Adiantum flabellulatum","Plantae","Polypodiopsida","NLC"
"Adiantum formosanum","Plantae","Polypodiopsida","NVU"
"Adiantum hispidulum","Plantae","Polypodiopsida","NLC"
"Adiantum menglianense","Plantae","Polypodiopsida","DD"
"Adiantum monochlamys","Plantae","Polypodiopsida","NEN"
"Adiantum myriosorum","Plantae","Polypodiopsida","NVU"
"Adiantum philippense","Plantae","Polypodiopsida","NLC"
"Adiantum soboliferum","Plantae","Polypodiopsida","NVU"
"Antrophyum castaneum","Plantae","Polypodiopsida","NVU"
"Antrophyum formosanum","Plantae","Polypodiopsida","NLC"
"Antrophyum henryi","Plantae","Polypodiopsida","NVU"
"Antrophyum obovatum","Plantae","Polypodiopsida","NLC"
"Antrophyum parvulum","Plantae","Polypodiopsida","NVU"
"Antrophyum sessilifolium","Plantae","Polypodiopsida","NNT"
"Haplopteris heterophylla","Plantae","Polypodiopsida","NCR"
"Vaginularia junghuhnii","Plantae","Polypodiopsida","NNT"
"Vaginularia trichoidea","Plantae","Polypodiopsida","NCR"
