"new_simple_name","taxon_id","kingdom","class","new_iucn"
"Idiosepius minimus","t0027090","Animalia","Cephalopoda","DD"
"Pterorhinus sannio","t0029850","Animalia","Aves","LC"
"Planiliza planiceps","t0035958","Animalia","Actinopteri","LC"
"Platygyra acuta","t0036027","Animalia","Hexacorallia","LC"
"Platygyra carnosus","t0036029","Animalia","Hexacorallia","LC"
"Platygyra contorta","t0036030","Animalia","Hexacorallia","LC"
"Platygyra verweyi","t0036036","Animalia","Hexacorallia","LC"
"Pleuractis moluccensis","t0036228","Animalia","Hexacorallia","LC"
"Pleuractis taiwanensis","t0036230","Animalia","Hexacorallia","LC"
"Pocillopora acuta","t0036273","Animalia","Hexacorallia","EN"
"Pocillopora brevicornis","t0036274","Animalia","Hexacorallia","DD"
"Pocillopora danae","t0036276","Animalia","Hexacorallia","EN"
"Pocillopora elegans","t0036277","Animalia","Hexacorallia","EN"
"Pocillopora fungiformis","t0036278","Animalia","Hexacorallia","EN"
"Pocillopora kelleheri","t0036280","Animalia","Hexacorallia","EN"
"Podabacia motuporensis","t0036285","Animalia","Hexacorallia","LC"
"Porites aranetai","t0036565","Animalia","Hexacorallia","LC"
"Porites attenuata","t0036566","Animalia","Hexacorallia","EN"
"Porites compressa","t0036568","Animalia","Hexacorallia","LC"
"Porites densa","t0036572","Animalia","Hexacorallia","LC"
"Porites evermanni","t0036573","Animalia","Hexacorallia","EN"
"Porites heronensis","t0036574","Animalia","Hexacorallia","EN"
"Porites latistellata","t0036576","Animalia","Hexacorallia","LC"
"Porites tuberculosa","t0036587","Animalia","Hexacorallia","EN"
"Porites vaughani","t0036588","Animalia","Hexacorallia","LC"
"Psammocora haimiana","t0036887","Animalia","Hexacorallia","LC"
"Psammocora nierstraszi","t0036888","Animalia","Hexacorallia","LC"
"Psammocora stellata","t0036890","Animalia","Hexacorallia","LC"
"Pycnocraspedum microlepis","t0037452","Animalia","Actinopteri","DD"
"Seriatopora aculeata","t0038807","Animalia","Hexacorallia","EN"
"Seriatopora guttata","t0038809","Animalia","Hexacorallia","EN"
"Crithagra mozambica","t0038822","Animalia","Aves","LC"
"Simplastrea vesicularis","t0038967","Animalia","Hexacorallia","DD"
"Sinuorota hexagonalis","t0039188","Animalia","Hexacorallia","LC"
"Stolephorus insignus","t0039934","Animalia","Actinopteri","DD"
"Stylocoeniella cocosensis","t0046332","Animalia","Hexacorallia","LC"
"Stylophora subseriata","t0046340","Animalia","Hexacorallia","EN"
"Tubastraea floreana","t0048206","Animalia","Hexacorallia","CR"
"Turbinaria radicalis","t0048235","Animalia","Hexacorallia","LC"
"Dicrurus annectens","t0061577","Animalia","Aves","LC"
"Dipsastraea faviaformis","t0061753","Animalia","Hexacorallia","LC"
"Dipsastraea helianthoides","t0061755","Animalia","Hexacorallia","LC"
"Dipsastraea rotundata","t0061762","Animalia","Hexacorallia","LC"
"Dipsastraea veroni","t0061764","Animalia","Hexacorallia","LC"
"Echinomorpha nishihirai","t0062249","Animalia","Hexacorallia","LC"
"Echinophyllia costata","t0062257","Animalia","Hexacorallia","LC"
"Echinophyllia patula","t0062260","Animalia","Hexacorallia","LC"
"Favites acuticollis","t0063809","Animalia","Hexacorallia","LC"
"Favites colemani","t0063811","Animalia","Hexacorallia","LC"
"Fimbriaphyllia paraancora","t0063873","Animalia","Hexacorallia","LC"
"Goniastrea minuta","t0064734","Animalia","Hexacorallia","LC"
"Goniopora burgosi","t0064751","Animalia","Hexacorallia","LC"
"Goniopora cellulosa","t0064752","Animalia","Hexacorallia","LC"
"Goniopora eclipsensis","t0064755","Animalia","Hexacorallia","LC"
"Goniopora fruticosa","t0064756","Animalia","Hexacorallia","LC"
"Goniopora stokesi","t0064762","Animalia","Hexacorallia","LC"
"Homophyllia bowerbanki","t0065805","Animalia","Hexacorallia","LC"
"Isopora crateriformis","t0066389","Animalia","Hexacorallia","EN"
"Leptoseris amitoriensis","t0067231","Animalia","Hexacorallia","LC"
"Leptoseris foliosa","t0067233","Animalia","Hexacorallia","LC"
"Leptoseris solida","t0067239","Animalia","Hexacorallia","LC"
"Leptoseris striata","t0067240","Animalia","Hexacorallia","LC"
"Leptoseris tubulifera","t0067241","Animalia","Hexacorallia","LC"
"Lobophyllia dentata","t0067776","Animalia","Hexacorallia","EN"
"Lobophyllia diminuta","t0067777","Animalia","Hexacorallia","EN"
"Lobophyllia hassi","t0067779","Animalia","Hexacorallia","LC"
"Lobophyllia ishigakiensis","t0067782","Animalia","Hexacorallia","LC"
"Micromussa lordhowensis","t0069303","Animalia","Hexacorallia","EN"
"Acanthastrea brevis","t0069943","Animalia","Hexacorallia","LC"
"Acanthastrea minuta","t0069947","Animalia","Hexacorallia","LC"
"Acanthastrea subechinata","t0069949","Animalia","Hexacorallia","LC"
"Acropora abrolhosensis","t0070169","Animalia","Hexacorallia","EN"
"Acropora bifurcata","t0070175","Animalia","Hexacorallia","EN"
"Acropora bushyensis","t0070176","Animalia","Hexacorallia","EN"
"Acropora cophodactyla","t0070180","Animalia","Hexacorallia","DD"
"Acropora dendrum","t0070183","Animalia","Hexacorallia","EN"
"Acropora elegans","t0070188","Animalia","Hexacorallia","LC"
"Acropora hoeksemai","t0070197","Animalia","Hexacorallia","EN"
"Acropora horrida","t0070198","Animalia","Hexacorallia","EN"
"Acropora inermis","t0070201","Animalia","Hexacorallia","EN"
"Acropora kosurini","t0070205","Animalia","Hexacorallia","EN"
"Acropora loisetteae","t0070208","Animalia","Hexacorallia","EN"
"Acropora longicyathus","t0070209","Animalia","Hexacorallia","EN"
