"new_simple_name","taxon_id","kingdom","class","new_iucn"
"Equisetum arvense","t0026355","Plantae","Polypodiopsida","LC"
"Equisetum ramosissimum","t0026357","Plantae","Polypodiopsida","LC"
"Psilotum nudum","t0026358","Plantae","Polypodiopsida","LC"
"Vandenboschia maxima","t0026425","Plantae","Polypodiopsida","LC"
"Dicranopteris linearis","t0026428","Plantae","Polypodiopsida","LC"
"Lygodium microphyllum","t0026439","Plantae","Polypodiopsida","LC"
"Azolla pinnata","t0026444","Plantae","Polypodiopsida","LC"
"Salvinia cucullata","t0026445","Plantae","Polypodiopsida","LC"
"Salvinia natans","t0026447","Plantae","Polypodiopsida","LC"
"Acrostichum aureum","t0026490","Plantae","Polypodiopsida","LC"
"Ceratopteris thalictroides","t0026491","Plantae","Polypodiopsida","LC"
"Pteris multifida","t0026516","Plantae","Polypodiopsida","NT"
"Pteris vittata","t0026528","Plantae","Polypodiopsida","LC"
"Microlepia rhomboidea","t0026596","Plantae","Polypodiopsida","LC"
"Bolbitis appendiculata","t0026613","Plantae","Polypodiopsida","LC"
"Elaphoglossum angulatum","t0026620","Plantae","Polypodiopsida","DD"
"Dryopteris hasseltii","t0026661","Plantae","Polypodiopsida","EN"
"Pyrrosia lanceolata","t0026804","Plantae","Polypodiopsida","LC"
"Leptochilus decurrens","t0026835","Plantae","Polypodiopsida","LC"
"Leptochilus pteropus","t0026842","Plantae","Polypodiopsida","LC"
"Asplenium exiguum","t0026897","Plantae","Polypodiopsida","LC"
"Asplenium tenuifolium","t0026920","Plantae","Polypodiopsida","NT"
"Cyclosorus interruptus","t0026962","Plantae","Polypodiopsida","LC"
"Diplazium dilatatum","t0027027","Plantae","Polypodiopsida","LC"
"Cleistoblechnum eburneum","t0027053","Plantae","Polypodiopsida","VU"
"Limnophila aromatica","t0027056","Plantae","Magnoliopsida","LC"
"Nageia fleuryi","t0027057","Plantae","Pinopsida","NT"
"Nageia nagi","t0027058","Plantae","Pinopsida","NT"
"Podocarpus costalis","t0027059","Plantae","Pinopsida","EN"
"Podocarpus fasciculus","t0027060","Plantae","Pinopsida","VU"
"Podocarpus nakaii","t0027063","Plantae","Pinopsida","EN"
"Solanum insanum","t0033491","Plantae","Magnoliopsida","LC"
"Solanum violaceum","t0033498","Plantae","Magnoliopsida","LC"
"Eulophia graminea","t0033507","Plantae","Magnoliopsida","LC"
"Eleocharis atropurpurea","t0033509","Plantae","Magnoliopsida","LC"
"Cyperus procerus","t0033510","Plantae","Magnoliopsida","LC"
"Zanthoxylum avicennae","t0033522","Plantae","Magnoliopsida","LC"
"Abelmoschus moschatus","t0033541","Plantae","Magnoliopsida","LC"
"Acacia caesia","t0033548","Plantae","Magnoliopsida","LC"
"Acacia confusa","t0033549","Plantae","Magnoliopsida","LC"
"Acalypha caturus","t0033554","Plantae","Magnoliopsida","LC"
"Acalypha suirenbiensis","t0033558","Plantae","Magnoliopsida","VU"
"Acampe praemorsa longepedunculata","t0033560","Plantae","Magnoliopsida","VU"
"Acanthophippium striatum","t0033561","Plantae","Magnoliopsida","EN"
"Acer albopurpurascens","t0033568","Plantae","Magnoliopsida","LC"
"Acer kawakamii","t0033569","Plantae","Magnoliopsida","LC"
"Acer serrulatum","t0033570","Plantae","Magnoliopsida","LC"
"Achillea millefolium","t0033572","Plantae","Magnoliopsida","LC"
"Acmella uliginosa","t0033581","Plantae","Magnoliopsida","LC"
"Acorus gramineus","t0033582","Plantae","Magnoliopsida","LC"
"Acronychia pedunculata","t0033589","Plantae","Magnoliopsida","LC"
"Actinoscirpus grossus","t0033601","Plantae","Magnoliopsida","LC"
"Adiantum capillus-veneris","t0033607","Plantae","Polypodiopsida","LC"
"Aeschynomene indica","t0033623","Plantae","Magnoliopsida","LC"
"Agave americana","t0033633","Plantae","Magnoliopsida","LC"
"Agave filifera","t0033634","Plantae","Magnoliopsida","LC"
"Agave univittata","t0033637","Plantae","Magnoliopsida","LC"
"Aglaia odorata","t0033642","Plantae","Magnoliopsida","LC"
"Agrostis clavata","t0033652","Plantae","Magnoliopsida","LC"
"Agrostis stolonifera","t0033657","Plantae","Magnoliopsida","LC"
"Alangium chinense","t0033672","Plantae","Magnoliopsida","LC"
"Albizia julibrissin","t0033675","Plantae","Magnoliopsida","VU"
"Albizia kalkora","t0033676","Plantae","Magnoliopsida","LC"
"Albizia lebbeck","t0033677","Plantae","Magnoliopsida","LC"
"Albizia procera","t0033678","Plantae","Magnoliopsida","LC"
"Albizia retusa","t0033679","Plantae","Magnoliopsida","LC"
"Aletris formosana","t0033683","Plantae","Magnoliopsida","LC"
"Aletris spicata","t0033684","Plantae","Magnoliopsida","LC"
"Aleurites moluccanus","t0033686","Plantae","Magnoliopsida","LC"
"Allium chinense","t0033693","Plantae","Magnoliopsida","LC"
"Allium grayi","t0033695","Plantae","Magnoliopsida","LC"
"Allium sativum","t0033696","Plantae","Magnoliopsida","LC"
"Allium schoenoprasum","t0033697","Plantae","Magnoliopsida","LC"
"Allium thunbergii","t0033698","Plantae","Magnoliopsida","DD"
"Allium tuberosum","t0033699","Plantae","Magnoliopsida","LC"
"Alocasia odora","t0033703","Plantae","Magnoliopsida","LC"
"Aloe striata","t0033708","Plantae","Magnoliopsida","LC"
"Aloe vera","t0033710","Plantae","Magnoliopsida","LC"
"Alopecurus myosuroides","t0033711","Plantae","Magnoliopsida","LC"
"Alpinia zerumbet","t0040128","Plantae","Magnoliopsida","DD"
"Alternanthera sessilis","t0040131","Plantae","Magnoliopsida","LC"
"Alysicarpus bupleurifolius","t0040132","Plantae","Magnoliopsida","LC"
"Ammannia multiflora","t0040147","Plantae","Magnoliopsida","LC"
"Amorphophallus paeoniifolius","t0040150","Plantae","Magnoliopsida","LC"
"Anneslea fragrans lanceolata","t0040174","Plantae","Magnoliopsida","VU"
"Annona glabra","t0040175","Plantae","Magnoliopsida","LC"
"Annona montana","t0040176","Plantae","Magnoliopsida","LC"
"Annona muricata","t0040177","Plantae","Magnoliopsida","LC"
"Annona reticulata","t0040178","Plantae","Magnoliopsida","LC"
"Annona squamosa","t0040179","Plantae","Magnoliopsida","LC"
"Antidesma montanum","t0040199","Plantae","Magnoliopsida","LC"
"Antidesma pleuricum","t0040200","Plantae","Magnoliopsida","NT"
"Aphanamixis polystachya","t0040204","Plantae","Magnoliopsida","LC"
"Aphananthe aspera","t0040205","Plantae","Magnoliopsida","LC"
"Aponogeton taiwanensis","t0040208","Plantae","Magnoliopsida","LC"
"Aralia armata","t0040220","Plantae","Magnoliopsida","LC"
"Aralia bipinnata","t0040221","Plantae","Magnoliopsida","LC"
"Araucaria columnaris","t0040224","Plantae","Pinopsida","LC"
"Archidendron lucidum","t0040225","Plantae","Magnoliopsida","LC"
"Ardisia elliptica","t0040231","Plantae","Magnoliopsida","LC"
"Ardisia quinquegona","t0040234","Plantae","Magnoliopsida","LC"
"Ardisia sieboldii","t0040235","Plantae","Magnoliopsida","LC"
"Areca catechu","t0040238","Plantae","Magnoliopsida","LC"
"Aria alnifolia","t0040246","Plantae","Magnoliopsida","LC"
"Arisaema heterophyllum","t0040250","Plantae","Magnoliopsida","LC"
"Artocarpus treculianus","t0040269","Plantae","Magnoliopsida","LC"
"Arundinella nepalensis","t0040277","Plantae","Magnoliopsida","LC"
"Arundo donax","t0040279","Plantae","Magnoliopsida","LC"
"Asparagus cochinchinensis","t0040286","Plantae","Magnoliopsida","DD"
"Astronia formosana","t0040305","Plantae","Magnoliopsida","LC"
"Avena fatua","t0040317","Plantae","Magnoliopsida","LC"
"Avena sativa","t0040318","Plantae","Magnoliopsida","DD"
"Axonopus scoparius","t0040322","Plantae","Magnoliopsida","LC"
"Barringtonia asiatica","t0040346","Plantae","Magnoliopsida","LC"
"Barringtonia racemosa","t0040347","Plantae","Magnoliopsida","LC"
"Bauhinia purpurea","t0040355","Plantae","Magnoliopsida","LC"
"Bauhinia variegata","t0040356","Plantae","Magnoliopsida","LC"
"Beilschmiedia erythrophloia","t0040364","Plantae","Magnoliopsida","LC"
"Beilschmiedia tsangii","t0040365","Plantae","Magnoliopsida","LC"
"Bertholletia excelsa","t0040373","Plantae","Magnoliopsida","VU"
"Bidens tripartita","t0040378","Plantae","Magnoliopsida","LC"
"Bischofia javanica","t0040381","Plantae","Magnoliopsida","LC"
"Blumea balsamifera","t0040389","Plantae","Magnoliopsida","LC"
"Blyxa aubertii","t0040393","Plantae","Magnoliopsida","LC"
"Blyxa japonica","t0040395","Plantae","Magnoliopsida","LC"
"Bonnaya ciliata","t0040408","Plantae","Magnoliopsida","LC"
"Bonnaya ruellioides","t0040409","Plantae","Magnoliopsida","LC"
"Brachiaria mutica","t0040424","Plantae","Magnoliopsida","LC"
"Brachiaria subquadripara","t0040425","Plantae","Magnoliopsida","LC"
"Brasenia schreberi","t0040442","Plantae","Magnoliopsida","LC"
"Brassica oleracea","t0040443","Plantae","Magnoliopsida","DD"
"Breynia disticha","t0040448","Plantae","Magnoliopsida","LC"
"Bridelia balansae","t0040450","Plantae","Magnoliopsida","LC"
"Bridelia tomentosa","t0040451","Plantae","Magnoliopsida","LC"
"Broussonetia papyrifera","t0040466","Plantae","Magnoliopsida","LC"
"Brucea javanica","t0040467","Plantae","Magnoliopsida","LC"
"Brugmansia suaveolens","t0040468","Plantae","Magnoliopsida","EW"
"Buchanania arborescens","t0040490","Plantae","Magnoliopsida","LC"
"Buddleja curviflora","t0040491","Plantae","Magnoliopsida","CR"
"Bulbophyllum rubrolabellum","t0040509","Plantae","Magnoliopsida","EN"
"Bulbophyllum tokioi","t0040512","Plantae","Magnoliopsida","EN"
"Bulbostylis densa","t0040515","Plantae","Magnoliopsida","LC"
"Caesalpinia bonduc","t0040525","Plantae","Magnoliopsida","LC"
"Caesalpinia decapetala","t0040527","Plantae","Magnoliopsida","LC"
"Caesalpinia pulcherrima","t0040529","Plantae","Magnoliopsida","LC"
"Calanthe davidii davidii","t0040544","Plantae","Magnoliopsida","LC"
"Calanthe triplicata","t0040550","Plantae","Magnoliopsida","LC"
"Callerya nitida","t0040555","Plantae","Magnoliopsida","LC"
"Callitriche palustris","t0040561","Plantae","Magnoliopsida","LC"
"Camellia brevistyla","t0040579","Plantae","Magnoliopsida","LC"
"Camellia caudata","t0040580","Plantae","Magnoliopsida","LC"
"Camellia formosensis","t0040581","Plantae","Magnoliopsida","VU"
"Camellia furfuracea","t0040582","Plantae","Magnoliopsida","LC"
"Camellia japonica","t0040583","Plantae","Magnoliopsida","LC"
"Camellia kissi","t0040584","Plantae","Magnoliopsida","LC"
"Camellia salicifolia","t0040585","Plantae","Magnoliopsida","LC"
"Camellia sinensis","t0040586","Plantae","Magnoliopsida","DD"
"Camellia transarisanensis","t0040587","Plantae","Magnoliopsida","VU"
"Camellia trichoclada","t0040588","Plantae","Magnoliopsida","VU"
"Camphora micrantha","t0040593","Plantae","Magnoliopsida","LC"
"Machilus philippinensis","t0040595","Plantae","Magnoliopsida","LC"
"Canavalia rosea","t0040612","Plantae","Magnoliopsida","LC"
"Capparis acutifolia","t0040621","Plantae","Magnoliopsida","LC"
"Limnophila heterophylla","t0046084","Plantae","Magnoliopsida","LC"
"Limnophila sessiliflora","t0046085","Plantae","Magnoliopsida","LC"
"Heptapleurum ellipticum","t0046125","Plantae","Magnoliopsida","LC"
"Heptapleurum taiwanianum","t0046126","Plantae","Magnoliopsida","LC"
"Heptapleurum heptaphyllum","t0046127","Plantae","Magnoliopsida","LC"
"Limnophila rugosa","t0046156","Plantae","Magnoliopsida","LC"
"Sagittaria trifolia","t0046157","Plantae","Magnoliopsida","LC"
"Hygrophila polysperma","t0046166","Plantae","Magnoliopsida","LC"
"Acorus calamus","t0046169","Plantae","Magnoliopsida","LC"
"Magnolia champaca","t0046174","Plantae","Magnoliopsida","LC"
"Triglochin palustris","t0046175","Plantae","Magnoliopsida","LC"
"Ficus benjamina","t0046293","Plantae","Magnoliopsida","LC"
"Ficus caulocarpa","t0046294","Plantae","Magnoliopsida","LC"
"Ficus fistulosa","t0046300","Plantae","Magnoliopsida","LC"
"Ficus fistulosa benguetensis","t0046301","Plantae","Magnoliopsida","LC"
"Ficus irisana","t0046304","Plantae","Magnoliopsida","LC"
"Ficus nervosa","t0046306","Plantae","Magnoliopsida","LC"
"Ficus pedunculosa mearnsii","t0046308","Plantae","Magnoliopsida","LC"
"Ficus septica","t0046316","Plantae","Magnoliopsida","LC"
"Ficus tinctoria","t0046319","Plantae","Magnoliopsida","LC"
"Ficus virgata","t0046322","Plantae","Magnoliopsida","LC"
"Vallisneria spiralis","t0049253","Plantae","Magnoliopsida","LC"
"Vernicia fordii","t0049266","Plantae","Magnoliopsida","LC"
"Vernicia montana","t0049267","Plantae","Magnoliopsida","LC"
"Veronica peregrina","t0049281","Plantae","Magnoliopsida","LC"
"Viburnum betulifolium","t0049287","Plantae","Magnoliopsida","LC"
"Viburnum luzonicum","t0049290","Plantae","Magnoliopsida","LC"
