"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Selaginella aristata","t0026315","Plantae","Lycopodiopsida","NLC"
"Selaginella boninensis","t0026316","Plantae","Lycopodiopsida","NNT"
"Selaginella ciliaris","t0026317","Plantae","Lycopodiopsida","NNT"
"Selaginella delicatula","t0026318","Plantae","Lycopodiopsida","NLC"
"Selaginella heterostachys","t0026320","Plantae","Lycopodiopsida","NLC"
"Selaginella involvens","t0026321","Plantae","Lycopodiopsida","NLC"
"Selaginella labordei","t0026322","Plantae","Lycopodiopsida","NLC"
"Selaginella lutchuensis","t0026323","Plantae","Lycopodiopsida","NEN"
"Selaginella moellendorffii","t0026324","Plantae","Lycopodiopsida","NLC"
"Selaginella nipponica","t0026325","Plantae","Lycopodiopsida","NEN"
"Selaginella remotifolia","t0026326","Plantae","Lycopodiopsida","NLC"
"Selaginella repanda","t0026327","Plantae","Lycopodiopsida","NLC"
"Selaginella stauntoniana","t0026328","Plantae","Lycopodiopsida","NLC"
"Selaginella tamariscina","t0026329","Plantae","Lycopodiopsida","NLC"
"Huperzia emeiensis","t0026331","Plantae","Lycopodiopsida","DD"
"Huperzia herteriana","t0026332","Plantae","Lycopodiopsida","DD"
"Huperzia liangshanica","t0026333","Plantae","Lycopodiopsida","DD"
"Huperzia quasipolytrichoides","t0026334","Plantae","Lycopodiopsida","NLC"
"Huperzia selago","t0026335","Plantae","Lycopodiopsida","NVU"
"Huperzia myriophyllifolia","t0026336","Plantae","Lycopodiopsida","DD"
"Huperzia somae","t0026337","Plantae","Lycopodiopsida","NLC"
"Phlegmariurus carinatus","t0026338","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus changii","t0026339","Plantae","Lycopodiopsida","DD"
"Phlegmariurus cryptomerinus","t0026340","Plantae","Lycopodiopsida","NNT"
"Phlegmariurus cunninghamioides","t0026341","Plantae","Lycopodiopsida","NCR"
"Phlegmariurus fargesii","t0026342","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus fordii","t0026343","Plantae","Lycopodiopsida","NLC"
"Phlegmariurus phlegmaria","t0026344","Plantae","Lycopodiopsida","NEN"
"Phlegmariurus salvinioides","t0026345","Plantae","Lycopodiopsida","NEN"
