"taxonUUID","taxonRank","kingdom","class","simplifiedScientificName","categoryRedlistTW","new_redlistTW","source_process","comparison_redlistTW"
"5cc3c4f2-ed66-437c-89e4-1b3c84e70eb7","infraspecies","Animalia","Insecta","Papilio paris nakaharai","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"1987e6a0-9ef1-4cd6-80a4-f4c8dcae4225","infraspecies","Animalia","Aves","Ardea cinerea jouyi","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"a238ef99-b569-4984-b21b-9c9140406207","infraspecies","Animalia","Mammalia","Neofelis nebulosa brachyura","","區域滅絕（RE, Regionally Extinct）","redlistTW_change_output",FALSE
"633a8677-f21f-4c7f-a129-3f83d45888b9","species","Animalia","Insecta","Aeromachus bandaishanus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"56555242-ec38-493f-90c4-a35859b4f097","species","Animalia","Insecta","Aeromachus matudai","","資料缺乏（DD, Data Deficient）","redlistTW_change_output",FALSE
"a87467b4-8f46-4c6a-b7f5-04908003ab01","species","Animalia","Insecta","Aeromachus inachus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"82a0b0d7-757b-4c8b-b86f-f2250ebea711","species","Animalia","Insecta","Badamia exclamationis","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"20af4899-a26b-4895-a3cf-cb79f232ed35","species","Animalia","Insecta","Borbo cinnara","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"ff175a40-4001-46a6-8781-59da17f3c271","species","Animalia","Insecta","Pseudoborbo bevani","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"9b21ce16-26bf-4fd6-b888-9abddbfe5d64","species","Animalia","Insecta","Celaenorrhinus horishanus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"fa1150e0-b13b-4c1b-87fa-39b9f1575d00","species","Animalia","Insecta","Celaenorrhinus kurosawai","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"7fd71f6b-9925-4f50-9dd5-6621af158160","species","Animalia","Insecta","Celaenorrhinus major","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"09874201-9df7-498d-bfe5-296d41c324d5","species","Animalia","Insecta","Celaenorrhinus ratna","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"9b9ed021-70b5-4c2e-b473-8a61502aa9b1","species","Animalia","Insecta","Celaenorrhinus maculosus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"1f07158f-3b39-458e-a7a1-45608b866f89","species","Animalia","Insecta","Celaenorrhinus pulomaya","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"a28e12a1-451f-4ca4-afcf-eded78671838","species","Animalia","Insecta","Coladenia pinsbukana","","資料缺乏（DD, Data Deficient）","redlistTW_change_output",FALSE
"f8eccee8-904c-490c-8f36-e6de99e370d4","species","Animalia","Insecta","Halpe gamma","","易危（VU, Vulnerable）","redlistTW_change_output",FALSE
"7ae8376a-c29e-4f82-811a-a310c3f71b93","species","Animalia","Insecta","Hasora badra","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"e4537591-27d0-4552-a971-97243ab4bbb3","species","Animalia","Insecta","Hasora chromus","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"a61b9d4c-0aa8-47f6-8204-1bfec9b90248","species","Animalia","Insecta","Hasora anura","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"1619b12e-5d6b-4d5d-92a5-dd06d9f24ad7","species","Animalia","Insecta","Hasora taminatus","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"baf547cc-8674-45a0-aa41-63de77b337a6","species","Animalia","Insecta","Notocrypta curvifascia","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"fb090b87-f512-41f3-837a-328fd93deeab","species","Animalia","Insecta","Notocrypta feisthamelii","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"30bdb7d1-c344-457b-aee5-632a21e42621","species","Animalia","Insecta","Ochlodes bouddha","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"4b020588-a6c3-4bd1-857f-1c66527a804b","species","Animalia","Insecta","Parnara bada","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"936b19e5-75fb-4a6b-9e59-06f35eac442c","species","Animalia","Insecta","Pelopidas agna","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"dc6a2932-cb23-485f-8bfc-c7d3c0e7f465","species","Animalia","Insecta","Pelopidas conjuncta","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"1b6b78b0-29ca-4560-9011-ed6b01fa40a0","species","Animalia","Insecta","Pelopidas sinensis","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"2aebc599-c563-4068-8a24-8a97602a9cff","species","Animalia","Insecta","Pelopidas mathias","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"034a33cd-40ae-486a-beff-8a919a18f219","species","Animalia","Insecta","Zinaida kiraizana","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"d88cb5cd-d56e-48c1-8b34-d49f720741b1","species","Animalia","Insecta","Zenonoida eltola","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"0174efc2-8c7c-40aa-b043-a521829a2f1f","species","Animalia","Insecta","Polytremis lubricans","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"7b08c1bc-c1b5-4d91-a0b1-6d4b87e79a42","species","Animalia","Insecta","Zinaida zina","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"337037a2-d6c4-4661-8b1a-ec12ee04cf35","species","Animalia","Insecta","Potanthus motzui","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"5377ee39-9ca2-48d7-ad4b-fb8eddea545f","species","Animalia","Insecta","Potanthus pava","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"96fc1250-76cf-445e-9209-bf269eb525f6","species","Animalia","Insecta","Potanthus diffusus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"f5a2434e-1b72-4b82-99df-653569dffb8b","species","Animalia","Insecta","Potanthus confucius","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"0b6fc1da-8646-4523-804b-0694ec07417f","species","Animalia","Insecta","Satarupa formosibia","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"52b8e9d8-2bdc-4487-a7e9-97d4587dba1a","species","Animalia","Insecta","Satarupa majasra","","易危（VU, Vulnerable）","redlistTW_change_output",FALSE
"f68a0b95-c026-44bc-a366-e4e2ad85c8f8","species","Animalia","Insecta","Seseria formosana","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"587ac3b6-7c2f-4b77-b94e-9f0cfe7f1d75","species","Animalia","Insecta","Suastus gremius","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"b62bc692-8dc0-4db7-9c65-f5b47b728ceb","species","Animalia","Insecta","Tagiades cohaerens","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"8994487f-b57c-4b51-9ed9-f6a46a1ab4b8","species","Animalia","Insecta","Tagiades trebellius","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"ff69777c-2e4f-4a00-bc0a-b15edeffcdc0","species","Animalia","Insecta","Praethoressa horishana","","瀕危（EN, Endangered）","redlistTW_change_output",FALSE
"de692abf-31fe-4ecc-a2c0-6a372ed996bb","species","Animalia","Insecta","Udaspes folus","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"8dff1dbb-2c56-44a6-8ccc-ed5358255e35","species","Animalia","Insecta","Abraximorpha davidii","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"9d84bf13-b70a-42e3-b026-1918eb1c4418","species","Animalia","Insecta","Ampittia dioscorides","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"67a8131e-cd3a-4750-9b5c-1a7dc62dde79","species","Animalia","Insecta","Ampittia virgata","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"7e145d8f-ba38-4f77-8fcd-51971e65bbd5","species","Animalia","Insecta","Burara jaina","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
"1c94bd05-a85c-45d5-ac9b-f8652d068fd0","species","Animalia","Insecta","Caltoris bromus","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"70268973-7dc9-4096-a21d-071aa48f9205","species","Animalia","Insecta","Choaspes benjaminii","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"316e5882-b670-4b8c-b730-3e0589d858b0","species","Animalia","Insecta","Choaspes xanthopogon","","接近受脅（NT, Near Threatened）","redlistTW_change_output",FALSE
"50ab4f37-876a-4d3d-ab37-827853651b65","species","Animalia","Insecta","Isoteinon lamprospilus","","暫無危機（LC, Least Concern）","redlistTW_change_output",FALSE
