"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"d65b4aeb-96a6-4a4c-a96b-36e7d14feefd","species","t0034281","Beltrania concurvispora","Fungi","Sordariomycetes","native","","","","","","","species","Beltrania concurvispora","FALSE","FALSE","native","","","","Beltrania","concurvispora",NA,TRUE,TRUE,TRUE,TRUE
"fdab48c1-480c-4363-a470-ff7fd95b2c16","species","t0034283","Beltrania rhombica","Fungi","Sordariomycetes","native","","","","","","","species","Beltrania rhombica","FALSE","FALSE","native","","","","Beltrania","rhombica",NA,TRUE,TRUE,TRUE,TRUE
"fbe4c337-cd73-481a-9fc7-7a067d4779ba","species","t0034282","Beltrania querna","Fungi","Sordariomycetes","native","","","","","","","species","Beltrania querna","FALSE","FALSE","native","","","","Beltrania","querna",NA,TRUE,TRUE,TRUE,TRUE
"540fea81-9be1-42b2-adc5-17ebc15fb412","species","t0034780","Chalara hughesii","Fungi","Leotiomycetes","native","","","","","","","species","Chalara hughesii","FALSE","FALSE","native","","","","Chalara","hughesii",NA,TRUE,TRUE,TRUE,TRUE
"9e1ce1fb-c5ac-4926-a0f7-9bc765a4597b","species","t0034781","Chalara montellica","Fungi","Leotiomycetes","native","","","","","","","species","Chalara montellica","FALSE","FALSE","native","","","","Chalara","montellica",NA,TRUE,TRUE,TRUE,TRUE
"64157a3c-09a8-4c5e-968a-767dc0f287e3","species","t0034782","Chalara musae","Fungi","Leotiomycetes","native","","","","","","","species","Chalara musae","FALSE","FALSE","native","","","","Chalara","musae",NA,TRUE,TRUE,TRUE,TRUE
"974b10d9-33af-4f26-9ffd-31c5f912240b","species","t0034783","Chalara urceolata","Fungi","Leotiomycetes","native","","","","","","","species","Chalara urceolata","FALSE","FALSE","native","","","","Chalara","urceolata",NA,TRUE,TRUE,TRUE,TRUE
"6a1ac684-7fd5-4241-b440-f940315ba6fe","species","t0034779","Chalara aotearoa","Fungi","Leotiomycetes","native","","","","","","","species","Chalara aotearoa","FALSE","FALSE","native","","","","Chalara","aotearoa",NA,TRUE,TRUE,TRUE,TRUE
"7683f125-33e3-4dfb-bf77-e17c6da2e899","species","t0035190","Corynesporopsis quercicola","Fungi","Ascomycota classis incertae sedis","native","","","","","","","species","Corynesporopsis quercicola","FALSE","FALSE","native","","","","Corynesporopsis","quercicola",NA,TRUE,TRUE,TRUE,TRUE
"141f9909-7470-46b8-8943-c474230b94f4","species","t0035537","Ectostroma oryzae","Fungi","Ascomycota classis incertae sedis","native","","","","","","","species","Ectostroma oryzae","FALSE","FALSE","native","","","","Ectostroma","oryzae",NA,TRUE,TRUE,TRUE,TRUE
