"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Equisetum arvense","t0026355","Plantae","Polypodiopsida","LC",NA,NA
"Equisetum ramosissimum","t0026357","Plantae","Polypodiopsida","LC",NA,"NLC"
"Dicranopteris linearis","t0026428","Plantae","Polypodiopsida","LC",NA,"NLC"
"Lygodium microphyllum","t0026439","Plantae","Polypodiopsida","LC",NA,"NVU"
"Cibotium barometz","t0026463","Plantae","Polypodiopsida","LC",NA,"NLC"
"Ceratopteris thalictroides","t0026491","Plantae","Polypodiopsida","LC",NA,"NLC"
"Pteris vittata","t0026528","Plantae","Polypodiopsida","LC",NA,"NLC"
"Leptochilus pteropus","t0026842","Plantae","Polypodiopsida","LC",NA,"NLC"
"Limnophila aromatica","t0027056","Plantae","Magnoliopsida","LC",NA,"NVU"
"Nageia fleuryi","t0027057","Plantae","Pinopsida","NT",NA,NA
"Nageia nagi","t0027058","Plantae","Pinopsida","NT",NA,"NEN"
"Podocarpus costalis","t0027059","Plantae","Pinopsida","EN",NA,"NCR"
"Podocarpus fasciculus","t0027060","Plantae","Pinopsida","VU",NA,"NVU"
"Podocarpus macrophyllus maki","t0027062","Plantae","Pinopsida","NT",NA,"NVU"
"Solanum insanum","t0033491","Plantae","Magnoliopsida","LC",NA,"NVU"
"Eleocharis atropurpurea","t0033509","Plantae","Magnoliopsida","LC",NA,"NEN"
"Acalypha caturus","t0033554","Plantae","Magnoliopsida","LC",NA,"NLC"
"Acalypha suirenbiensis","t0033558","Plantae","Magnoliopsida","VU",NA,"DD"
"Acalypha wilkesiana","t0033559","Plantae","Magnoliopsida","LC",NA,NA
"Acer albopurpurascens","t0033568","Plantae","Magnoliopsida","LC",NA,"NLC"
"Acer kawakamii","t0033569","Plantae","Magnoliopsida","LC",NA,"NLC"
"Acmella paniculata","t0033580","Plantae","Magnoliopsida","LC",NA,"NVU"
"Aeschynomene indica","t0033623","Plantae","Magnoliopsida","LC",NA,NA
"Agave filifera","t0033634","Plantae","Magnoliopsida","LC",NA,NA
"Agave univittata","t0033637","Plantae","Magnoliopsida","LC",NA,NA
"Aglaia odorata","t0033642","Plantae","Magnoliopsida","LC",NA,NA
"Agrostis clavata","t0033652","Plantae","Magnoliopsida","LC",NA,"NLC"
"Alangium chinense","t0033672","Plantae","Magnoliopsida","LC",NA,"NLC"
"Albizia lebbeck","t0033677","Plantae","Magnoliopsida","LC",NA,NA
"Albizia procera","t0033678","Plantae","Magnoliopsida","LC",NA,"NLC"
"Aletris formosana","t0033683","Plantae","Magnoliopsida","LC",NA,"NLC"
"Aleurites moluccanus","t0033686","Plantae","Magnoliopsida","LC",NA,NA
"Allium chinense","t0033693","Plantae","Magnoliopsida","LC",NA,"DD"
"Allium grayi","t0033695","Plantae","Magnoliopsida","LC",NA,"DD"
"Allium thunbergii","t0033698","Plantae","Magnoliopsida","DD",NA,"DD"
"Allium tuberosum","t0033699","Plantae","Magnoliopsida","LC",NA,NA
"Alocasia odora","t0033703","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ammannia multiflora","t0040147","Plantae","Magnoliopsida","LC",NA,"NLC"
"Anneslea fragrans lanceolata","t0040174","Plantae","Magnoliopsida","VU",NA,"NVU"
"Annona reticulata","t0040178","Plantae","Magnoliopsida","LC",NA,NA
"Annona squamosa","t0040179","Plantae","Magnoliopsida","LC",NA,NA
"Antidesma montanum","t0040199","Plantae","Magnoliopsida","LC",NA,"NLC"
"Aralia armata","t0040220","Plantae","Magnoliopsida","LC",NA,"NLC"
"Aralia bipinnata","t0040221","Plantae","Magnoliopsida","LC",NA,"NLC"
"Araucaria columnaris","t0040224","Plantae","Pinopsida","LC",NA,NA
"Archidendron lucidum","t0040225","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ardisia quinquegona","t0040234","Plantae","Magnoliopsida","LC",NA,"NLC"
"Areca catechu","t0040238","Plantae","Magnoliopsida","LC",NA,NA
"Arisaema heterophyllum","t0040250","Plantae","Magnoliopsida","LC",NA,"NLC"
"Artocarpus treculianus","t0040269","Plantae","Magnoliopsida","LC",NA,NA
"Artocarpus xanthocarpus","t0040271","Plantae","Magnoliopsida","VU",NA,"NVU"
"Arundo donax","t0040279","Plantae","Magnoliopsida","LC",NA,"NLC"
"Asparagus cochinchinensis","t0040286","Plantae","Magnoliopsida","DD",NA,"NLC"
"Astronia formosana","t0040305","Plantae","Magnoliopsida","LC",NA,"NLC"
"Barringtonia asiatica","t0040346","Plantae","Magnoliopsida","LC",NA,"NVU"
"Bidens tripartita","t0040378","Plantae","Magnoliopsida","LC",NA,"NVU"
"Bonnaya ciliata","t0040408","Plantae","Magnoliopsida","LC",NA,"NLC"
"Bouea macrophylla","t0040421","Plantae","Magnoliopsida","LC",NA,NA
"Brachiaria mutica","t0040424","Plantae","Magnoliopsida","LC",NA,NA
"Brachiaria subquadripara","t0040425","Plantae","Magnoliopsida","LC",NA,"NLC"
"Brasenia schreberi","t0040442","Plantae","Magnoliopsida","LC",NA,"NVU"
"Brassica oleracea","t0040443","Plantae","Magnoliopsida","DD",NA,NA
"Breynia disticha","t0040448","Plantae","Magnoliopsida","LC",NA,NA
"Bridelia balansae","t0040450","Plantae","Magnoliopsida","LC",NA,"NLC"
"Bridelia tomentosa","t0040451","Plantae","Magnoliopsida","LC",NA,"NLC"
"Brugmansia suaveolens","t0040468","Plantae","Magnoliopsida","EW",NA,NA
"Buchanania arborescens","t0040490","Plantae","Magnoliopsida","LC",NA,"NNT"
"Buddleja curviflora","t0040491","Plantae","Magnoliopsida","CR",NA,"NVU"
"Bulbostylis densa","t0040515","Plantae","Magnoliopsida","LC",NA,"NLC"
"Caesalpinia pulcherrima","t0040529","Plantae","Magnoliopsida","LC",NA,NA
"Camellia caudata","t0040580","Plantae","Magnoliopsida","LC",NA,"NLC"
"Camellia formosensis","t0040581","Plantae","Magnoliopsida","VU",NA,"NNT"
"Camellia japonica","t0040583","Plantae","Magnoliopsida","LC",NA,"NVU"
"Camellia kissi","t0040584","Plantae","Magnoliopsida","LC",NA,"NVU"
"Camellia salicifolia","t0040585","Plantae","Magnoliopsida","LC",NA,"NNT"
"Camellia trichoclada","t0040588","Plantae","Magnoliopsida","VU",NA,"NVU"
"Camphora micrantha","t0040593","Plantae","Magnoliopsida","LC",NA,"NLC"
"Capparis acutifolia","t0040621","Plantae","Magnoliopsida","LC",NA,"NVU"
"Heptapleurum heptaphyllum","t0046127","Plantae","Magnoliopsida","LC",NA,"NLC"
"Limnophila rugosa","t0046156","Plantae","Magnoliopsida","LC",NA,"NVU"
"Sagittaria trifolia","t0046157","Plantae","Magnoliopsida","LC",NA,"NLC"
