"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW"
"03cb1ec3-8b54-4876-b755-05406c0e2ab8","species","61fdf452-0188-4b5a-98ad-93ac7bc89e84","","Carrhotus viduus","Animalia","Arachnida","原生 Native","","","","","",NA
"fa561dd6-3909-42f3-9bc2-e4444c64c707","species","afe6ce6e-ce42-45e4-aeda-bd283f5c6e0a","","Amphiesma sp.","Animalia","Reptilia","原生 Native","台灣特有","","","","",NA
"8fe4d0b8-eba8-410a-835a-ea5f9f803e30","infraspecies","de71cb4d-c630-4c0b-98b5-3a7428fd3ece","","Microcystis aeruginosa aeruginosa","Bacteria","Cyanophyceae","原生 Native","","","","","",NA
"534293e3-4d9b-42fb-93e5-8a09a36c62d6","species","47ad99d1-0d36-45bf-941f-7131a7924495","","Podocnemis unifilis","Animalia","Reptilia","外來 Non-native","","","","","",NA
"060c8136-2fe0-4478-8f68-c2d1a85b413d","species","719a16e9-f32e-4b87-a097-1419d5ad8483","","Centrochelys sulcata","Animalia","Reptilia","外來 Non-native","","","","瀕危（EN, Endangered）","",NA
"9aaea9a4-924e-46db-8ff3-221b3007b150","species","09e90618-f886-41a6-ba61-2cb9b57bd50b","","Dendriscosticta phyllidiata","Fungi","Ascomycetes","原生 Native","","","","","",NA
"2d8e7d95-6403-4490-9ddc-4444557f3b28","species","f74027db-c09c-4b80-9e77-899963012aea","","Tropidoclonion lineatum","Animalia","Reptilia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"1693137d-a211-4743-b37f-8bc43ebbe2e1","species","e891dcd1-c1f7-4ae2-b08f-9d349583f8ae","","Alle alle","Animalia","Aves","原生 Native","","","","暫無危機（LC, Least Concern）","",NA
"ade52c8a-ed3a-4ea2-9829-ae725d377255","species","ae9b9ca4-bd86-4793-8731-62e1cad93db5","","Pyrrhura molinae","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"1733bbe3-48a8-433e-9bb0-688d14e943a8","species","41bc70f1-387f-480b-ae45-7e5463ada020","","Mustela putorius","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"ad4a8f2c-9cbf-4170-9a6d-66c8dacd57d4","infraspecies","1733bbe3-48a8-433e-9bb0-688d14e943a8","","Mustela putorius furo","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"b8bf8509-0dc8-4042-a722-b0f0e44d9697","species","cbd2d7e7-d44c-4ba1-805f-eb0f16441b4d","","Procyon lotor","Animalia","Mammalia","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"c10373f4-265a-48dd-9c00-9c9fdd23a51d","species","383f3c0c-6b40-4326-a8f2-47df1d3779db","","Petaurus breviceps","Animalia","Mammalia","外來 Non-native","","","","","",NA
"d9458b74-f1be-4d0e-8077-c977030e3ea5","species","8f38b975-ce34-4f12-9026-07d1d90e5b7a","","Euplectes orix","Animalia","Aves","外來 Non-native","","","","","",NA
"a52434ab-692e-448e-836a-14e8be55520f","species","3ec356a5-8e84-49e7-b670-c64f28414ba7","","Machlolophus spilonotus","Animalia","Aves","外來 Non-native","","","","","",NA
"7b8af3a7-4be8-4169-836a-152ee2d5183b","species","306d4ca6-90cf-45c8-a531-9ef19c66e0d0","","Amandava subflava","Animalia","Aves","外來 Non-native","","","","","",NA
"3e7a03fb-17d5-40b3-8606-176bf4e1fb2e","species","2a5356a1-a404-485a-b2b9-0aabe6e0891a","","Agapornis personatus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
"aafb6332-190b-4cc6-ab49-27acef3386b4","species","2f7301f1-94da-4e03-8226-c6ff8e1de2bd","","Ara chloropterus","Animalia","Aves","外來 Non-native","","","","暫無危機（LC, Least Concern）","",NA
