"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"fa00e918-cc98-4457-8c2e-b272672908d0","species","1f819ca0-26db-444e-b543-fc16987b2612","t0030082","Paracalanidae tenuis","Animalia","Maxillopoda","native","","","","","",NA,"species","Calocalanus tenuis","FALSE","FALSE","native","","","","Calocalanus","tenuis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"8369c7c1-8781-48e4-b994-db3110b97168","infraspecies","ade8ec95-3d1c-478f-af4c-bd9abc2787e5","t0087184","Florisphaera profunda elongata","Chromista","Prymnesiophyceae","native","","","","","",NA,"species","Florisphaera elongata","FALSE","FALSE","native","","","","Florisphaera","elongata",NA,"","","",FALSE,TRUE,TRUE,TRUE
"f54e2b4a-1897-4c41-b9e2-4298cd621fe3","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042577","Phanerochaete angustocystidiata","Fungi","Agaricomycetes","native","","","","","",NA,"species","Phanerochaetella angustocystidiata","FALSE","FALSE","native","","","","Phanerochaetella","angustocystidiata",NA,"","","",FALSE,TRUE,TRUE,TRUE
"b94444c1-baf6-42e8-91b2-8772247a3cd3","species","a63d18b4-b805-4968-a11e-7a79f046444d","t0042671","Phlebiopsis himalayensis","Fungi","Agaricomycetes","native","","","","","",NA,"species","Phaeophlebiopsis himalayensis","FALSE","FALSE","native","","","","Phaeophlebiopsis","himalayensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"ba8c2698-ce35-46cd-b3f6-8d43bb01a491","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042598","Phanerochaete intertexta","Fungi","Agaricomycetes","native","","","","","",NA,"species","Efibula intertexta","FALSE","FALSE","native","","","","Efibula","intertexta",NA,"","","",FALSE,TRUE,TRUE,TRUE
"e4a970e7-c33c-45d3-b688-621cd5d99cb6","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042599","Phanerochaete leptoderma","Fungi","Agaricomycetes","native","","","","","",NA,"species","Phanerochaetella leptoderma","FALSE","FALSE","native","","","","Phanerochaetella","leptoderma",NA,"","","",FALSE,TRUE,TRUE,TRUE
"caf662c7-6d6f-4467-8b20-8f7403a51b46","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042602","Phanerochaete odontoidea","Fungi","Agaricomycetes","native","","","","","",NA,"species","Hydnophanerochaete odontoidea","FALSE","FALSE","native","","","","Hydnophanerochaete","odontoidea",NA,"","","",FALSE,TRUE,TRUE,TRUE
"109575fe-81c0-43a6-9c92-61b8925f78e3","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042605","Phanerochaete rubescens","Fungi","Agaricomycetes","native","","","","","",NA,"species","Rhizochaete borneensis","FALSE","FALSE","native","","","","Rhizochaete","borneensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"6c192ceb-2d16-4037-aad8-6afba8425b7c","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042610","Phanerochaete subglobosa","Fungi","Agaricomycetes","native","","","","","",NA,"species","Luteochaete subglobosa","FALSE","FALSE","native","","","","Luteochaete","subglobosa",NA,"","","",FALSE,TRUE,TRUE,TRUE
"c57aa4c5-4bbe-48c6-b76d-f03c49245e49","species","5143fdf0-0ac0-461e-a421-710fc9148013","t0042614","Phanerochaete tropica","Fungi","Agaricomycetes","native","","","","","",NA,"species","Efibula tropica","FALSE","FALSE","native","","","","Efibula","tropica",NA,"","","",FALSE,TRUE,TRUE,TRUE
"46e9ae1c-f3f0-4b26-8002-1ff549acd636","species","73f42bb4-8ff5-4d6e-bef8-a1b9ae84c119","t0044616","Uredo coreana","Fungi","Pucciniomycetes","native","","","","","",NA,"species","Milesina coreana","FALSE","FALSE","native","","","","Milesina","coreana",NA,"","","",FALSE,TRUE,TRUE,TRUE
"47b7072e-9074-435f-9eec-38bf54e855dd","species","73f42bb4-8ff5-4d6e-bef8-a1b9ae84c119","t0044617","Uredo cryptogrammes","Fungi","Pucciniomycetes","native","","","","","",NA,"species","Hyalopsora cryptogrammes","FALSE","FALSE","native","","","","Hyalopsora","cryptogrammes",NA,"","","",FALSE,TRUE,TRUE,TRUE
"57b78637-827d-4019-83a4-403a7b6df5e5","species","73f42bb4-8ff5-4d6e-bef8-a1b9ae84c119","t0044651","Uredo morrisonensis","Fungi","Pucciniomycetes","native","","","","","",NA,"species","Milesina morrisonensis","FALSE","FALSE","native","","","","Milesina","morrisonensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"eca3e851-a749-4a69-87f2-73c430da3692","species","73f42bb4-8ff5-4d6e-bef8-a1b9ae84c119","t0044652","Uredo niitakensis","Fungi","Pucciniomycetes","native","","","","","",NA,"species","Milesina niitakensis","FALSE","FALSE","native","","","","Milesina","niitakensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"db065f55-03c9-4258-9a41-d7da2054bfee","species","bba1a1c8-24a3-4258-b1d6-054920402843","t0033567","Entrophospora kentinensis","Fungi","Glomeromycetes","native","","","","","",NA,"species","Acaulospora kentinensis","FALSE","FALSE","native","","","","Acaulospora","kentinensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"0475d075-6dc2-4be2-8596-929941facf28","species","57be5dd9-1eea-43e9-86f9-cfd8ee5f545d","t0043044","Bahusaganda toruloides","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Polyschema toruloides","FALSE","FALSE","native","","","","Polyschema","toruloides",NA,"","","",FALSE,TRUE,TRUE,TRUE
"977c87fe-ff08-4ef1-aeda-f33e8c9207b1","species","07162fa8-253e-4db2-bd80-9299cf011b7a","t0038354","Scaphidium shrakii","Animalia","Insecta","native","true","","","","",NA,"species","Scaphidium shirakii","TRUE","FALSE","native","","","","Scaphidium","shirakii",NA,"","","",FALSE,TRUE,TRUE,TRUE
"deec8490-0777-4853-8069-1b0fd60169e3","species","02b3468b-3a50-451f-b287-edc55a06c1dd","t0044216","Sterigmatobotrys uniseptata","Fungi","Sordariomycetes","native","","","","","",NA,"species","Sterigmatobotrys uniseptatus","FALSE","FALSE","native","","","","Sterigmatobotrys","uniseptatus",NA,"","","",FALSE,TRUE,TRUE,TRUE
