"taxonUUID","taxonRank","kingdom","simplifiedScientificName","current_redlistTW","suggested_redlistTW","source_process"
"5cc3c4f2-ed66-437c-89e4-1b3c84e70eb7","infraspecies","Animalia","Papilio paris nakaharai","LC","NLC","corrected_redlistTW"
"0a0c407d-db44-410d-8f0a-ee2fb166a9e4","species","Animalia","Oryzias sinensis","VU","NVU","corrected_redlistTW"
"535f2da4-f79b-477a-afde-7b4b10a066f3","species","Animalia","Awaous melanocephalus","LC","NLC","corrected_redlistTW"
"d17edf11-70a8-4e6d-b824-9fd0ccac7c14","species","Animalia","Awaous ocellaris","LC","NLC","corrected_redlistTW"
"082281a4-7912-45fb-aea2-bc6758b29854","species","Animalia","Glossogobius celebius","LC","NLC","corrected_redlistTW"
"65445927-de9d-4b76-ab6e-ccdcdd9b359f","species","Animalia","Lentipes armatus","NT","NNT","corrected_redlistTW"
"2b0471dc-f510-4d5a-94f9-2a8c8283b43d","species","Animalia","Mugilogobius abei","LC","NLC","corrected_redlistTW"
"0928b7b0-0981-4dad-bf5a-7f04cc6d658d","species","Animalia","Mugilogobius myxodermus","LC","NLC","corrected_redlistTW"
"e8dc17ab-9f4b-42b7-96b4-fc67946bafd9","species","Animalia","Oligolepis acutipennis","LC","NLC","corrected_redlistTW"
"fcf5fa13-a401-4de3-9c2e-6e340befb621","species","Animalia","Redigobius bikolanus","LC","NLC","corrected_redlistTW"
"f7eb6c2e-7ea5-4204-90ee-99508c419018","species","Animalia","Rhinogobius candidianus","LC","NLC","corrected_redlistTW"
"6aeb0d30-117c-4720-afc0-7bc81b16bae8","species","Animalia","Rhinogobius delicatus","EN","NEN","corrected_redlistTW"
"71defa39-4ee4-4cdd-8617-a6419aa43fb9","species","Animalia","Rhinogobius gigas","LC","NLC","corrected_redlistTW"
"a045cb04-1124-440d-b308-005ad7bd7ae4","species","Animalia","Rhinogobius similis","LC","NLC","corrected_redlistTW"
"6d47f686-a016-48f1-ba02-4f8a6f90db16","species","Animalia","Rhinogobius henchuenensis","EN","NEN","corrected_redlistTW"
"29a5affd-82db-4f27-8087-547953db793d","species","Animalia","Rhinogobius lanyuensis","EN","NEN","corrected_redlistTW"
"a0ca0985-738c-4205-ac96-e43cfd11e242","species","Animalia","Rhinogobius maculafasciatus","LC","NLC","corrected_redlistTW"
"4bc44e6a-586e-49ca-a385-e9dc9706d440","species","Animalia","Rhinogobius formosanus","NT","NNT","corrected_redlistTW"
"fc09b1ef-fbd5-471b-a559-30c7aba24cfb","species","Animalia","Rhinogobius nantaiensis","VU","NVU","corrected_redlistTW"
"e0c2be1b-1dc6-432e-8dec-ec565d8e2e9f","species","Animalia","Rhinogobius rubromaculatus","LC","NLC","corrected_redlistTW"
"2c8c790a-0a7b-49c8-aed9-92c05640b532","species","Animalia","Schismatogobius ampluvinculus","LC","NLC","corrected_redlistTW"
"bce2258d-c21b-4047-83f0-e04f50058cf3","species","Animalia","Sicyopterus japonicus","NT","NNT","corrected_redlistTW"
"a7fcbb43-f413-4cee-8b19-3eec14ac0254","species","Animalia","Sicyopterus lagocephalus","LC","NLC","corrected_redlistTW"
"73940790-4e24-47fe-90fd-ffb6e1671e45","species","Animalia","Sicyopus zosterophorus","VU","NVU","corrected_redlistTW"
"fa7fd8c3-d3b9-415a-92d4-9c546e98052d","species","Animalia","Smilosicyopus leprurus","EN","NEN","corrected_redlistTW"
"67c0f02c-933f-4fcc-ae34-37c238f22542","species","Animalia","Stenogobius genivittatus","LC","NLC","corrected_redlistTW"
"7e3b1536-54f9-44cf-86de-4151d5b848d6","species","Animalia","Stenogobius ophthalmoporus","LC","NLC","corrected_redlistTW"
"6963dff5-f1d5-43cd-bc1a-cbb608738986","species","Animalia","Stiphodon atropurpureus","LC","NLC","corrected_redlistTW"
"f69bd38c-ae74-4df2-be91-30546850eec0","species","Animalia","Stiphodon percnopterygionus","LC","NLC","corrected_redlistTW"
"77d9c859-a96c-4437-92f3-1007e759ae08","species","Animalia","Eleotris acanthopoma","LC","NLC","corrected_redlistTW"
"62a206dd-fd6d-4087-be77-ed7ddbe9117c","species","Animalia","Eleotris fusca","LC","NLC","corrected_redlistTW"
"68f8f081-d1ba-49a4-9883-d5bc44a4f828","species","Animalia","Channa asiatica","VU","NVU","corrected_redlistTW"
"5dbbd9ea-e8f7-48be-930d-cd5e2362c898","species","Animalia","Channa maculata","LC","NLC","corrected_redlistTW"
"85ed0f4f-a781-45b9-93ad-66969a5be55a","species","Animalia","Macropodus opercularis","NT","NNT","corrected_redlistTW"
"dacb6434-ead9-4222-8d01-ca35308e0554","species","Animalia","Rhyacichthys aspro","LC","NLC","corrected_redlistTW"
"dd398212-9f9a-43a7-a0ec-fa61921aa0fc","species","Animalia","Anabas testudineus","NT","NNT","corrected_redlistTW"
"b94e3fae-919e-46c2-90ae-ad34ea10633d","species","Animalia","Hippichthys heptagonus","LC","NLC","corrected_redlistTW"
"90198f08-4263-402d-81ec-4798f695b5ac","species","Animalia","Hippichthys spicifer","LC","NLC","corrected_redlistTW"
"70fdf1cc-4060-48a4-b086-b639d2b3cc9a","species","Animalia","Hippichthys penicillus","LC","NLC","corrected_redlistTW"
"126e4abb-00ba-41fa-91fa-c69be12b97e0","species","Animalia","Microphis leiaspis","LC","NLC","corrected_redlistTW"
"aa75e856-e46a-4615-8a14-e566109f8174","species","Animalia","Microphis manadensis","LC","NLC","corrected_redlistTW"
"0ab50891-d01d-4c41-ac4e-89746982eedb","species","Animalia","Microphis brachyurus","LC","NLC","corrected_redlistTW"
"4d741193-b2ac-49db-8caf-d0f9c192bbd4","species","Animalia","Acrossocheilus paradoxus","LC","NLC","corrected_redlistTW"
"bdfc69be-68b1-439c-90d0-be3c949d0a4c","species","Animalia","Aphyocypris kikuchii","EN","NEN","corrected_redlistTW"
"93251335-396a-46d5-b77d-684148c7e14f","species","Animalia","Aphyocypris amnis","CR","NCR","corrected_redlistTW"
"3e294710-6b83-4afb-adc2-b246b5c3cf95","species","Animalia","Candidia barbata","LC","NLC","corrected_redlistTW"
"6ae00dd7-d923-4347-be30-111c2c0e5341","species","Animalia","Candidia pingtungensis","EN","NEN","corrected_redlistTW"
"6be4c7ff-055c-44ba-8d4e-e5637a023530","species","Animalia","Carassius auratus","LC","NLC","corrected_redlistTW"
