"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"d65b4aeb-96a6-4a4c-a96b-36e7d14feefd","species","cf26df4b-5c9d-4703-b025-a84042b11658","t0034281","Beltrania concurvispora","Fungi","Sordariomycetes","native","","","","","",NA,"species","Beltrania concurvispora","FALSE","FALSE","native","","","","Beltrania","concurvispora",NA,"","","",TRUE,TRUE,TRUE,TRUE
"fdab48c1-480c-4363-a470-ff7fd95b2c16","species","cf26df4b-5c9d-4703-b025-a84042b11658","t0034283","Beltrania rhombica","Fungi","Sordariomycetes","native","","","","","",NA,"species","Beltrania rhombica","FALSE","FALSE","native","","","","Beltrania","rhombica",NA,"","","",TRUE,TRUE,TRUE,TRUE
"fbe4c337-cd73-481a-9fc7-7a067d4779ba","species","cf26df4b-5c9d-4703-b025-a84042b11658","t0034282","Beltrania querna","Fungi","Sordariomycetes","native","","","","","",NA,"species","Beltrania querna","FALSE","FALSE","native","","","","Beltrania","querna",NA,"","","",TRUE,TRUE,TRUE,TRUE
"540fea81-9be1-42b2-adc5-17ebc15fb412","species","0c259763-17e2-4e62-8e03-c457d1119015","t0034780","Chalara hughesii","Fungi","Leotiomycetes","native","","","","","",NA,"species","Chalara hughesii","FALSE","FALSE","native","","","","Chalara","hughesii",NA,"","","",TRUE,TRUE,TRUE,TRUE
"9e1ce1fb-c5ac-4926-a0f7-9bc765a4597b","species","0c259763-17e2-4e62-8e03-c457d1119015","t0034781","Chalara montellica","Fungi","Leotiomycetes","native","","","","","",NA,"species","Chalara montellica","FALSE","FALSE","native","","","","Chalara","montellica",NA,"","","",TRUE,TRUE,TRUE,TRUE
"64157a3c-09a8-4c5e-968a-767dc0f287e3","species","0c259763-17e2-4e62-8e03-c457d1119015","t0034782","Chalara musae","Fungi","Leotiomycetes","native","","","","","",NA,"species","Chalara musae","FALSE","FALSE","native","","","","Chalara","musae",NA,"","","",TRUE,TRUE,TRUE,TRUE
"974b10d9-33af-4f26-9ffd-31c5f912240b","species","0c259763-17e2-4e62-8e03-c457d1119015","t0034783","Chalara urceolata","Fungi","Leotiomycetes","native","","","","","",NA,"species","Chalara urceolata","FALSE","FALSE","native","","","","Chalara","urceolata",NA,"","","",TRUE,TRUE,TRUE,TRUE
"6a1ac684-7fd5-4241-b440-f940315ba6fe","species","0c259763-17e2-4e62-8e03-c457d1119015","t0034779","Chalara aotearoa","Fungi","Leotiomycetes","native","","","","","",NA,"species","Chalara aotearoa","FALSE","FALSE","native","","","","Chalara","aotearoa",NA,"","","",TRUE,TRUE,TRUE,TRUE
"7683f125-33e3-4dfb-bf77-e17c6da2e899","species","f8efe2fb-7854-4764-9843-08494e3baedb","t0035190","Corynesporopsis quercicola","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Corynesporopsis quercicola","FALSE","FALSE","native","","","","Corynesporopsis","quercicola",NA,"","","",TRUE,TRUE,TRUE,TRUE
"141f9909-7470-46b8-8943-c474230b94f4","species","1d3fb1bc-cee8-4cc3-900c-ad4d14f1af07","t0035537","Ectostroma oryzae","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Ectostroma oryzae","FALSE","FALSE","native","","","","Ectostroma","oryzae",NA,"","","",TRUE,TRUE,TRUE,TRUE
"7466053d-e95f-48e4-a71b-7e75671396fd","species","005c684a-35ba-4b39-a36f-9d993fe65ef7","t0035662","Exochalara longissima","Fungi","Leotiomycetes","native","","","","","",NA,"species","Exochalara longissima","FALSE","FALSE","native","","","","Exochalara","longissima",NA,"","","",TRUE,TRUE,TRUE,TRUE
"92da7a5a-bc77-4eb7-aabd-eea06d650c7f","species","4649fabe-9ab7-4958-8562-adb6e7f131d4","t0035766","Fusicolla aquaeductuum","Fungi","Sordariomycetes","native","","","","","",NA,"species","Fusicolla aquaeductuum","FALSE","FALSE","native","","","","Fusicolla","aquaeductuum",NA,"","","",TRUE,TRUE,TRUE,TRUE
"eb70a249-b1c6-4235-b0bf-02b5720e5348","species","4649fabe-9ab7-4958-8562-adb6e7f131d4","t0035767","Fusicolla merismoides","Fungi","Sordariomycetes","native","","","","","",NA,"species","Fusicolla merismoides","FALSE","FALSE","native","","","","Fusicolla","merismoides",NA,"","","",TRUE,TRUE,TRUE,TRUE
"b0fe89cf-a90d-4b36-82fa-120169f441cf","species","65176470-31fc-4ea5-b9fb-6eb7fe678a9d","t0040941","Hyalosynnema multiseptatum","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Hyalosynnema multiseptatum","FALSE","FALSE","native","","","","Hyalosynnema","multiseptatum",NA,"","","",TRUE,TRUE,TRUE,TRUE
"48d47ce2-4a32-4094-8ddd-47938c12f875","species","ebe87b68-a1dd-465a-bc12-0b1f4fd350b3","t0041191","Isthmotricladia gombakiensis","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Isthmotricladia gombakiensis","FALSE","FALSE","native","","","","Isthmotricladia","gombakiensis",NA,"","","",TRUE,TRUE,TRUE,TRUE
"54b436a6-07f9-4ad2-a777-b64031628f52","species","61948ee8-7a21-4649-a6be-c06f4dde8f28","t0041205","Junewangia globulosa","Fungi","Sordariomycetes","native","","","","","",NA,"species","Junewangia globulosa","FALSE","FALSE","native","","","","Junewangia","globulosa",NA,"","","",TRUE,TRUE,TRUE,TRUE
"070c340b-7a3b-420a-bbde-94299f7e1745","species","8918043d-6329-498c-91b3-ac451b3db56d","t0041653","Melanographium citri","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Melanographium citri","FALSE","FALSE","native","","","","Melanographium","citri",NA,"","","",TRUE,TRUE,TRUE,TRUE
"27bd9400-660c-42fc-a5c5-143886a01e65","species","8918043d-6329-498c-91b3-ac451b3db56d","t0041654","Melanographium selenioides","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Melanographium selenioides","FALSE","FALSE","native","","","","Melanographium","selenioides",NA,"","","",TRUE,TRUE,TRUE,TRUE
"78ecc221-2a64-453f-bf9f-13405fdc965d","species","22bd11dc-e8ce-45bf-8f54-1b1a393f84b1","t0041856","Monosporium alpiniae","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Monosporium alpiniae","FALSE","FALSE","native","","","","Monosporium","alpiniae",NA,"","","",TRUE,TRUE,TRUE,TRUE
"0ac44d69-a886-446d-8558-38fea12c30a3","species","22bd11dc-e8ce-45bf-8f54-1b1a393f84b1","t0041857","Monosporium eichhorniae","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Monosporium eichhorniae","FALSE","FALSE","native","","","","Monosporium","eichhorniae",NA,"","","",TRUE,TRUE,TRUE,TRUE
"7dda1d75-788d-45c4-bea3-d957333b6f00","species","fb70fb36-7696-4673-93e5-13d0c01eaab0","t0042256","Parastenella gupoyu","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Parastenella gupoyu","TRUE","FALSE","native","","","","Parastenella","gupoyu",NA,"","","",TRUE,TRUE,TRUE,TRUE
"1549a8a6-4f46-42f4-9831-30a23bcb7599","species","75d1b37b-4925-4b89-9d30-b0cbee13302d","t0043343","Pseudohansfordia lanyuensis","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Pseudohansfordia lanyuensis","FALSE","FALSE","native","","","","Pseudohansfordia","lanyuensis",NA,"","","",TRUE,TRUE,TRUE,TRUE
"76b44d7f-155f-4420-9043-467f270eb0de","species","75d1b37b-4925-4b89-9d30-b0cbee13302d","t0043342","Pseudohansfordia pulchra","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Pseudohansfordia pulchra","FALSE","FALSE","native","","","","Pseudohansfordia","pulchra",NA,"","","",TRUE,TRUE,TRUE,TRUE
"62877461-af8f-4dd5-826f-6f26f19d92ee","species","19213ab6-8e5d-4509-89a0-c613ad3bd6dc","t0043963","Scutisporus brunneus","Fungi","Ascomycota classis incertae sedis","native","","","","","",NA,"species","Scutisporus brunneus","FALSE","FALSE","native","","","","Scutisporus","brunneus",NA,"","","",TRUE,TRUE,TRUE,TRUE
"40ce57ca-98d3-4977-9f39-6463acbfcfba","species","2425289c-ef68-48b9-bf2c-5fd9a1619ff4","t0044058","Spegazzinia tessarthra","Fungi","Sordariomycetes","native","","","","","",NA,"species","Spegazzinia tessarthra","FALSE","FALSE","native","","","","Spegazzinia","tessarthra",NA,"","","",TRUE,TRUE,TRUE,TRUE
