"taxonUUID","taxonRank","kingdom","simplifiedScientificName","current_redlistTW","suggested_redlistTW","source_process"
"233a25cd-bac6-4bb2-94bb-a4b4c173c218","species","Animalia","Acridotheres javanicus","NA",NA,"corrected_redlistTW"
"56db805c-faf5-417c-8d04-ae8f442ca622","species","Animalia","Acridotheres cristatellus","暫無危機（LC, Least Concern）","接近受脅（NT, Near Threatened）","corrected_redlistTW"
"5dbb2b00-a638-4838-bb08-6e884152302b","species","Animalia","Acrocephalus sorghophilus","NA",NA,"corrected_redlistTW"
"b6dc0713-111d-4b39-b283-f330282f5341","species","Animalia","Acrocephalus tangorum","NA",NA,"corrected_redlistTW"
"387954d8-7500-4162-b38f-e02683ae1186","species","Animalia","Cyornis brunneatus","NA",NA,"corrected_redlistTW"
"c04eb7ce-0b9b-4dfd-9e7d-74c5df6d7067","species","Animalia","Emberiza rustica","NA",NA,"corrected_redlistTW"
"6522d339-ae75-4202-8bfa-a09b94dcd662","species","Animalia","Helopsaltes pleskei","NA",NA,"corrected_redlistTW"
"08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1","species","Animalia","Aquila heliaca","NA",NA,"corrected_redlistTW"
"3fae360a-23ea-45ef-827a-4c7af654fe69","species","Animalia","Clanga clanga","NA",NA,"corrected_redlistTW"
"283a16c1-47fd-4221-a221-d52e575766ee","species","Animalia","Ichthyaetus relictus","NA",NA,"corrected_redlistTW"
"e566274e-4dce-485b-a51c-9c53a4488794","species","Animalia","Rissa tridactyla","NA",NA,"corrected_redlistTW"
"aef79acf-2172-4f1b-bcf0-f89039067f8e","species","Animalia","Synthliboramphus wumizusume","NA",NA,"corrected_redlistTW"
"e486a442-46fe-47b3-a92a-d80d7c72b5e4","species","Animalia","Anas luzonica","NA",NA,"corrected_redlistTW"
"9e4f5b40-ceae-4fc5-bec4-b1b65ef1f7ca","species","Animalia","Anser cygnoides","NA",NA,"corrected_redlistTW"
"925fa76b-afac-482a-aaa2-af890f137cf8","species","Animalia","Anser erythropus","NA",NA,"corrected_redlistTW"
"f76d0089-0522-41ca-a311-ea1e1e0bcb37","species","Animalia","Aythya ferina","NA",NA,"corrected_redlistTW"
"9aee7654-fbf5-4529-acbd-9f08478581cf","species","Animalia","Clangula hyemalis","NA",NA,"corrected_redlistTW"
"629ea7b1-f65a-4df0-95be-0494829346d8","species","Animalia","Mergus squamatus","NA",NA,"corrected_redlistTW"
"a9182b3e-5cb1-4c28-932d-26b9a7eb62db","species","Animalia","Antigone vipio","NA",NA,"corrected_redlistTW"
"bc2b5442-7a76-49bb-99a5-65631f2175fc","species","Animalia","Grus japonensis","NA",NA,"corrected_redlistTW"
"943a9b58-5627-41a3-8794-ee25b5165d7c","species","Animalia","Grus monacha","NA",NA,"corrected_redlistTW"
"251368bf-574e-4e61-8fff-b77abe6f4370","species","Animalia","Leucogeranus leucogeranus","NA","","corrected_redlistTW"
"5e24ac51-e693-49ce-9793-5a81a87d293f","species","Animalia","Hydrobates leucorhous","NA",NA,"corrected_redlistTW"
"4748e6b0-2087-4910-89ee-5a3f657b5369","species","Animalia","Phoebastria albatrus","NA","","corrected_redlistTW"
"6dffa02d-95b8-4d06-b509-dda361173a01","species","Animalia","Gorsachius goisagi","NA",NA,"corrected_redlistTW"
"0c97ee83-eb22-4e9f-bba9-6e23a7891727","species","Animalia","Nipponia nippon","NA",NA,"corrected_redlistTW"
"ff35c17d-4ad0-4f7e-918d-16cb3a8f9edc","species","Animalia","Ptilinopus leclancheri","NA",NA,"corrected_redlistTW"
"8a30e23d-3d8c-4a7c-9c27-ddef4b1b7014","species","Animalia","Halcyon pileata","NA",NA,"corrected_redlistTW"
"30fddbfa-1efd-44a8-ab73-e83ce7113bb4","species","Animalia","Podiceps auritus","NA",NA,"corrected_redlistTW"
"47ab4272-64bb-4b8e-b010-037fb787f256","species","Animalia","Eutropis multifasciata","NA",NA,"corrected_redlistTW"
