"","taxonUUID","taxonRank","kingdom","simplifiedScientificName","new_iucn","protectedStatusTW","new_redlistTW","sensitiveCategory","sensitive","comparison_sensitive"
"1","2d70d761-6b25-49b0-8039-719a68adbc28","infraspecies","Animalia","Podiceps auritus auritus","","",NA,"","輕度",FALSE
"2","e55396c3-7ff9-472f-839e-b1fb1d06b4c2","species","Animalia","Eurema brigitta","LC","","","","輕度",FALSE
"3","5d0847b6-4791-4048-b264-c6a4fe9a8667","species","Animalia","Aporia gigantea","","","","","輕度",FALSE
"4","a4ce0858-6ccf-43c4-b6f0-4797513c6b7a","species","Animalia","Ceriagrion melanurum","","","CR","","輕度",FALSE
"5","66a8a938-8c1e-4eaf-a901-92f3c075582a","species","Animalia","Ceriagrion nipponicum","","","CR","","輕度",FALSE
"6","7b64cfce-b461-4873-979e-8fb5b53e2bda","species","Animalia","Mortonagrion hirosei","","","CR","","輕度",FALSE
"7","6780f963-aa39-4874-af70-22b2c9d6ff14","species","Animalia","Cephalaeschna risi","","","VU","","輕度",FALSE
"8","16ae30e4-901b-44d0-993c-d457d11f0b36","species","Animalia","Gynacantha saltatrix","","","EN","","輕度",FALSE
"9","15776791-e11b-470f-aaeb-dfb50eeb8eac","species","Animalia","Sarasaeschna tsaopiensis","","","EN","","輕度",FALSE
"10","98d556d5-c027-4367-8b57-7741495f6ac0","species","Animalia","Sarasaeschna chiangchinlii","","","VU","","輕度",FALSE
"11","d7183cdf-acca-44b7-940d-feed3af27e52","species","Animalia","Sarasaeschna kaoi","","","CR","","輕度",FALSE
"12","bbca84f0-ff9c-4c50-afe0-adad9b17ce28","species","Animalia","Anisogomphus koxingai","","","VU","","輕度",FALSE
"13","8cb4223c-dfaf-472f-a8b5-fa1c7144d735","species","Animalia","Anisogomphus maacki","","","VU","","輕度",FALSE
"14","4b50189e-6bba-4801-9d76-59ab4f676618","species","Animalia","Asiagomphus pacificus","","","VU","","輕度",FALSE
"15","0311ee4f-e15e-4972-a57c-23617e555752","species","Animalia","Asiagomphus perlaetus","","","EN","","輕度",FALSE
"16","5a9082e4-fbc9-45d6-b29b-96d3f4383cf1","species","Animalia","Aristocypha baibarana","","","CR","","輕度",FALSE
"17","a883838f-1444-44d4-a63a-3d8dc5802ba5","species","Animalia","Rhinocypha taiwana","","","EN","","輕度",FALSE
"18","7e1f4500-494a-4bb6-aaee-8f0fe7e7225e","species","Animalia","Libellago lineata","","","EN","","輕度",FALSE
"19","0a4cbe68-8a9b-4863-b8a0-d161819a4596","species","Animalia","Nannophya pygmaea","","","EN","","輕度",FALSE
"20","03aef23e-a178-427b-8027-195914baf14e","species","Animalia","Nannophyopsis clara","","","EN","","輕度",FALSE
"21","0fee45b5-fb52-40e1-83dd-9bee2833e549","species","Animalia","Neurothemis tullia","","","CR","","輕度",FALSE
"22","70de0277-836f-4c40-9e02-90a2b3999a02","species","Animalia","Orthetrum albistylum","","","CR","","輕度",FALSE
"23","d78768be-9da1-4a87-858b-5906e03b19b5","species","Animalia","Orthetrum pruinosum","","","LC","","輕度",FALSE
"24","62ad55f6-44cc-4ef6-af9e-4ee0baf473b2","species","Animalia","Rhyothemis severini","","","EN","","輕度",FALSE
"25","cfccfc6c-89bd-498e-8ed1-22996fbf6a53","species","Animalia","Sympetrum nantouensis","","","EN","","輕度",FALSE
"26","dc638eb5-5456-451e-b504-918ae78f9d16","species","Animalia","Sympetrum baccha","","","RE","","輕度",FALSE
"27","245efa49-df68-4266-9534-01f41200e0c4","species","Animalia","Agrionoptera insignis","","","EN","","輕度",FALSE
"28","2b534b7d-9bc5-4a7c-b20a-d41763c058bd","species","Animalia","Onychargia atrocyana","","","EN","","輕度",FALSE
"29","9292e860-0505-469c-b055-1fc1ce525b6f","species","Animalia","Macromia daimoji","","","EN","","輕度",FALSE
"30","bd7d5a45-f55a-4fbe-aaff-6762cbe5bbd1","species","Animalia","Macromidia ishidai","","","CR","","輕度",FALSE
"31","059c6715-5b60-4df7-8a4c-7a6c848d7e4e","species","Animalia","Somatochlora taiwana","","","CR","","輕度",FALSE
"32","abe37b35-c2be-4a6b-b303-f752e666b7f5","species","Animalia","Hemicordulia mindana","","","EN","","輕度",FALSE
"33","2cadf583-a820-44e7-8c2c-293710e69d35","species","Animalia","Sinolestes edita","","","EN","","輕度",FALSE
"34","49f8ec96-9627-418a-b7db-b60e158d494b","species","Animalia","Ischnura rubilio","","","CR","","輕度",FALSE
"35","9863ee73-4688-4093-91be-ddf84172609b","species","Animalia","Gomphidia fukienensis","","","EN","","輕度",FALSE
"36","46c2db6d-a1b7-4294-927d-1a734d0437b7","infraspecies","Animalia","Libellago lineata lineata","","","EN","","輕度",FALSE
"37","2923e97c-4957-4f18-98bb-c03f193cc24e","infraspecies","Animalia","Neurothemis tullia tullia","","","CR","","輕度",FALSE
"38","839c6d29-fcfd-4ba3-8391-d413e18f79bc","infraspecies","Animalia","Orthetrum albistylum speciosum","","","CR","","輕度",FALSE
"39","67449ef9-01f6-46d8-84aa-753183d327ef","infraspecies","Animalia","Orthetrum pruinosum clelia","","","EN","","輕度",FALSE
"40","17cae73a-6031-4ab9-a152-f0b0c377148b","infraspecies","Animalia","Sympetrum baccha baccha","","","RE","","輕度",FALSE
"41","1e074759-3908-4d78-b9e3-f86841e4a566","infraspecies","Animalia","Agrionoptera insignis similis","","","EN","","輕度",FALSE
"42","0a4fabfe-7f53-4e04-a367-3f06dad89654","infraspecies","Animalia","Hemicordulia mindana nipponica","","","EN","","輕度",FALSE
"43","ce128479-d544-417d-a4c2-d1d715a7673f","species","Animalia","Circus aeruginosus","LC","","","","輕度",FALSE
